matrix_sequence,label,process_mode,session_behavior,interval_seconds,symbol,prior_canonical_result,market_exchange,akshare_function,endpoint_family,request_parameters,request_start_time,elapsed_seconds,send_elapsed_seconds,result_classification,http_status,response_byte_length,parsed_row_count,latest_returned_trade_date,exception_type,terminal_exception_message,retry_count,accepted,rejection_reason,request_headers
1,isolated_fresh_process,fresh_child_process,akshare_requests_get_new_session,,002594.SZ,ACCEPTED,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002594;beg=20260714;end=20260714",2026-07-15T11:44:47.352+08:00,0.753660,0.225074,BROWSER_NET_EMPTY_RESPONSE,,,0,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,User-Agent=python-requests/2.34.2;Accept=*/*;Connection=keep-alive
2,isolated_fresh_process,fresh_child_process,akshare_requests_get_new_session,,002920.SZ,ACCEPTED,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002920;beg=20260714;end=20260714",2026-07-15T11:44:48.289+08:00,0.502489,0.256217,BROWSER_NET_EMPTY_RESPONSE,,,0,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,User-Agent=python-requests/2.34.2;Accept=*/*;Connection=keep-alive
3,isolated_fresh_process,fresh_child_process,akshare_requests_get_new_session,,000002.SZ,FAILED_OR_MISSING,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.000002;beg=20260714;end=20260714",2026-07-15T11:44:48.935+08:00,0.417119,0.180755,BROWSER_NET_EMPTY_RESPONSE,,,0,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,User-Agent=python-requests/2.34.2;Accept=*/*;Connection=keep-alive
4,isolated_fresh_process,fresh_child_process,akshare_requests_get_new_session,,300628.SZ,FAILED_OR_MISSING,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.300628;beg=20260714;end=20260714",2026-07-15T11:44:49.499+08:00,0.407334,0.165244,BROWSER_NET_EMPTY_RESPONSE,,,0,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,User-Agent=python-requests/2.34.2;Accept=*/*;Connection=keep-alive
5,isolated_repeat_after_3s,fresh_child_process,akshare_requests_get_new_session,3,002594.SZ,ACCEPTED,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002594;beg=20260714;end=20260714",2026-07-15T11:44:53.080+08:00,0.414694,0.178517,BROWSER_NET_EMPTY_RESPONSE,,,0,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,User-Agent=python-requests/2.34.2;Accept=*/*;Connection=keep-alive
6,isolated_repeat_after_3s,fresh_child_process,akshare_requests_get_new_session,3,002920.SZ,ACCEPTED,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002920;beg=20260714;end=20260714",2026-07-15T11:44:53.630+08:00,0.406707,0.169588,BROWSER_NET_EMPTY_RESPONSE,,,0,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,User-Agent=python-requests/2.34.2;Accept=*/*;Connection=keep-alive
7,isolated_repeat_after_3s,fresh_child_process,akshare_requests_get_new_session,3,000002.SZ,FAILED_OR_MISSING,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.000002;beg=20260714;end=20260714",2026-07-15T11:44:54.177+08:00,0.440720,0.178706,BROWSER_NET_EMPTY_RESPONSE,,,0,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,User-Agent=python-requests/2.34.2;Accept=*/*;Connection=keep-alive
8,isolated_repeat_after_3s,fresh_child_process,akshare_requests_get_new_session,3,300628.SZ,FAILED_OR_MISSING,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.300628;beg=20260714;end=20260714",2026-07-15T11:44:54.754+08:00,0.411615,0.170141,BROWSER_NET_EMPTY_RESPONSE,,,0,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,User-Agent=python-requests/2.34.2;Accept=*/*;Connection=keep-alive
9,sequential_existing_interval_0s,single_diagnostic_process,akshare_requests_get_new_session,0,002594.SZ,ACCEPTED,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002594;beg=20260714;end=20260714",2026-07-15T11:44:55.243+08:00,0.410850,0.161444,BROWSER_NET_EMPTY_RESPONSE,,,0,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,User-Agent=python-requests/2.34.2;Accept=*/*;Connection=keep-alive
10,sequential_existing_interval_0s,single_diagnostic_process,akshare_requests_get_new_session,0,002920.SZ,ACCEPTED,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.002920;beg=20260714;end=20260714",2026-07-15T11:44:55.654+08:00,0.172861,0.171954,BROWSER_NET_EMPTY_RESPONSE,,,0,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,User-Agent=python-requests/2.34.2;Accept=*/*;Connection=keep-alive
11,sequential_existing_interval_0s,single_diagnostic_process,akshare_requests_get_new_session,0,000002.SZ,FAILED_OR_MISSING,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.000002;beg=20260714;end=20260714",2026-07-15T11:44:55.827+08:00,0.296338,0.295164,BROWSER_NET_EMPTY_RESPONSE,,,0,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,User-Agent=python-requests/2.34.2;Accept=*/*;Connection=keep-alive
12,sequential_existing_interval_0s,single_diagnostic_process,akshare_requests_get_new_session,0,300628.SZ,FAILED_OR_MISSING,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.300628;beg=20260714;end=20260714",2026-07-15T11:44:56.123+08:00,0.170939,0.169836,BROWSER_NET_EMPTY_RESPONSE,,,0,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,User-Agent=python-requests/2.34.2;Accept=*/*;Connection=keep-alive
