request_sequence,symbol,market_exchange,akshare_function,endpoint_family,request_parameters,request_start_time,elapsed_seconds,result_classification,http_status,response_byte_length,parsed_row_count,latest_returned_trade_date,exception_type,terminal_exception_message,retry_count,accepted,rejection_reason,start_offset_seconds,capture_quality
1,000002.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.000002;beg=20260714;end=20260714",2026-07-15T11:30:03+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,0,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
2,000063.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.000063;beg=20260714;end=20260714",2026-07-15T11:30:04+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,1,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
3,000100.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.000100;beg=20260714;end=20260714",2026-07-15T11:30:04+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,1,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
4,000157.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.000157;beg=20260714;end=20260714",2026-07-15T11:30:05+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,2,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
5,000166.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.000166;beg=20260714;end=20260714",2026-07-15T11:30:05+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,2,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
6,000333.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.000333;beg=20260714;end=20260714",2026-07-15T11:30:06+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,3,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
7,000338.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.000338;beg=20260714;end=20260714",2026-07-15T11:30:06+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,3,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
8,000425.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.000425;beg=20260714;end=20260714",2026-07-15T11:30:06+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,3,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
9,000568.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.000568;beg=20260714;end=20260714",2026-07-15T11:30:07+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,4,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
10,000596.SZ,SZSE,stock_zh_a_hist,eastmoney_stock_kline_daily_qfq,"fields1=f1,f2,f3,f4,f5,f6;fields2=f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f116;ut=7eea3edcaed734bea9cbfc24409ed989;klt=101;fqt=1;secid=0.000596;beg=20260714;end=20260714",2026-07-15T11:30:07+08:00,,FAIL_CLASS_NOT_PERSISTED,,,0,,NOT_CAPTURED,not persisted by the 2026-07-15 canonical run,0,false,INVALID_PROVIDER_STATE;MISSING_REQUIRED_EVIDENCE,4,Shadowrocket direct-connection timestamp (1-second precision) plus committed refresh validation; HTTP/byte/elapsed/exception detail was not persisted
