public_command,script_path,exists,compatibility_strategy,legacy_import_required,status
python scripts/audit_existing_modules.py,scripts/audit_existing_modules.py,true,clean_wrapper,false,PASS
python scripts/build_pit_signal_snapshot.py,scripts/build_pit_signal_snapshot.py,true,clean_wrapper,false,PASS
python scripts/audit_pit_signal_snapshot.py,scripts/audit_pit_signal_snapshot.py,true,clean_wrapper,false,PASS
python scripts/build_label_snapshot.py,scripts/build_label_snapshot.py,true,clean_wrapper,false,PASS
python scripts/audit_label_snapshot.py,scripts/audit_label_snapshot.py,true,clean_wrapper,false,PASS
python scripts/build_model_ready_candidate_dataset.py,scripts/build_model_ready_candidate_dataset.py,true,clean_wrapper,false,PASS
python scripts/audit_feature_label_leakage.py,scripts/audit_feature_label_leakage.py,true,clean_wrapper,false,PASS
python scripts/run_stage6a_blocker_repair.py,scripts/run_stage6a_blocker_repair.py,true,clean_wrapper,false,PASS
python scripts/run_baseline_scoring_skeleton.py,scripts/run_baseline_scoring_skeleton.py,true,clean_wrapper,false,PASS
python scripts/audit_baseline_scoring_skeleton.py,scripts/audit_baseline_scoring_skeleton.py,true,clean_wrapper,false,PASS
python scripts/run_supervised_baseline_training.py,scripts/run_supervised_baseline_training.py,true,clean_wrapper,false,PASS
python scripts/audit_supervised_baseline_training.py,scripts/audit_supervised_baseline_training.py,true,clean_wrapper,false,PASS
python scripts/build_stage6c_expanded_validation_dataset.py,scripts/build_stage6c_expanded_validation_dataset.py,true,clean_wrapper,false,PASS
python scripts/audit_stage6c_expanded_validation.py,scripts/audit_stage6c_expanded_validation.py,true,clean_wrapper,false,PASS
python scripts/run_stage6c_ranking_baselines.py,scripts/run_stage6c_ranking_baselines.py,true,clean_wrapper,false,PASS
python scripts/audit_stage6c_ranking_baselines.py,scripts/audit_stage6c_ranking_baselines.py,true,clean_wrapper,false,PASS
python scripts/run_stage6c_walk_forward_validation.py,scripts/run_stage6c_walk_forward_validation.py,true,clean_wrapper,false,PASS
python scripts/run_goal06c_expanded_validation.py,scripts/run_goal06c_expanded_validation.py,true,clean_wrapper,false,PASS
python scripts/audit_storage_policy.py,scripts/audit_storage_policy.py,true,clean_wrapper,false,PASS
python scripts/build_data_bundle_manifest.py,scripts/build_data_bundle_manifest.py,true,clean_wrapper,false,PASS
python scripts/audit_data_bundle_manifest.py,scripts/audit_data_bundle_manifest.py,true,clean_wrapper,false,PASS
python scripts/audit_data_source_coverage.py,scripts/audit_data_source_coverage.py,true,clean_wrapper,false,PASS
python scripts/build_engineering_pit_signal_panel.py,scripts/build_engineering_pit_signal_panel.py,true,clean_wrapper,false,PASS
python scripts/audit_engineering_pit_signal_panel.py,scripts/audit_engineering_pit_signal_panel.py,true,clean_wrapper,false,PASS
python scripts/build_engineering_label_panel.py,scripts/build_engineering_label_panel.py,true,clean_wrapper,false,PASS
python scripts/audit_engineering_label_panel.py,scripts/audit_engineering_label_panel.py,true,clean_wrapper,false,PASS
python scripts/rebuild_stage6c_from_engineering_panel.py,scripts/rebuild_stage6c_from_engineering_panel.py,true,clean_wrapper,false,PASS
python scripts/run_current_trunk_validation.py,scripts/run_current_trunk_validation.py,true,clean_wrapper,false,PASS
python scripts/run_program_validation_profile.py,scripts/run_program_validation_profile.py,true,clean_wrapper,false,PASS
python scripts/run_safety_gate.py,scripts/run_safety_gate.py,true,clean_wrapper,false,PASS
python scripts/run_adapter_audit.py,scripts/run_adapter_audit.py,true,clean_wrapper,false,PASS
python scripts/run_workflow_diagnostics.py,scripts/run_workflow_diagnostics.py,true,clean_wrapper,false,PASS
python scripts/audit_workflow_status.py,scripts/audit_workflow_status.py,true,clean_wrapper,false,PASS
python scripts/audit_provider_failure_classification.py,scripts/audit_provider_failure_classification.py,true,clean_wrapper,false,PASS
