group_type,group_value,row_count,unique_symbols,unique_trade_dates,forward_return_1d_available_rows,mean_forward_return_1d,median_forward_return_1d,hit_rate_1d,benchmark_excess_return_1d_available_rows,mean_benchmark_excess_return_1d,positive_excess_rate_1d,forward_return_5d_available_rows,mean_forward_return_5d,median_forward_return_5d,hit_rate_5d,benchmark_excess_return_5d_available_rows,mean_benchmark_excess_return_5d,positive_excess_rate_5d,forward_return_20d_available_rows,mean_forward_return_20d,median_forward_return_20d,hit_rate_20d,benchmark_excess_return_20d_available_rows,mean_benchmark_excess_return_20d,positive_excess_rate_20d
symbol,000001.SZ,120,1,120,120,-0.0007905532,-0.0017301038,0.3916666667,120,-0.0012905190,0.3666666667,120,-0.0036719982,-0.0066445640,0.3333333333,120,-0.0073711226,0.3416666667,120,-0.0092162226,-0.0114426609,0.3833333333,120,-0.0211683192,0.2750000000
symbol,000002.SZ,120,1,120,120,-0.0043799508,-0.0042290102,0.3750000000,120,-0.0048799167,0.3750000000,120,-0.0227045120,-0.0179222902,0.2916666667,120,-0.0264036364,0.2416666667,120,-0.0759185244,-0.0639846092,0.1833333333,120,-0.0878706210,0.1333333333
symbol,000063.SZ,120,1,120,120,-0.0004732879,0.0000000000,0.4916666667,120,-0.0009732538,0.4416666667,120,-0.0015598239,-0.0022952141,0.4833333333,120,-0.0052589483,0.4583333333,120,-0.0120200716,-0.0256782798,0.3750000000,120,-0.0239721682,0.3333333333
symbol,000100.SZ,120,1,120,120,0.0005858988,-0.0020562825,0.4416666667,120,0.0000859329,0.4000000000,120,0.0050118036,0.0060606308,0.5333333333,120,0.0013126792,0.4333333333,120,0.0163513289,0.0157739939,0.5583333333,120,0.0043992323,0.4833333333
symbol,000157.SZ,120,1,120,120,-0.0005815314,-0.0011256496,0.4583333333,120,-0.0010814973,0.4500000000,120,-0.0024550054,0.0005636979,0.5000000000,120,-0.0061541297,0.4750000000,120,-0.0146578279,-0.0213639901,0.4666666667,120,-0.0266099245,0.4000000000
symbol,000166.SZ,120,1,120,120,-0.0014783286,-0.0019744279,0.3833333333,120,-0.0019782945,0.4000000000,120,-0.0065457337,-0.0050673252,0.3833333333,120,-0.0102448581,0.2583333333,120,-0.0254936012,-0.0307814388,0.2416666667,120,-0.0374456978,0.1083333333
symbol,000333.SZ,120,1,120,120,0.0003722736,0.0001907113,0.5083333333,120,-0.0001276923,0.4416666667,120,0.0010208752,-0.0001901864,0.4916666667,120,-0.0026782492,0.4250000000,120,0.0033130135,0.0022238095,0.5166666667,120,-0.0086390831,0.4166666667
symbol,000338.SZ,120,1,120,120,0.0062323885,0.0027278301,0.5500000000,120,0.0057324226,0.5333333333,120,0.0325238340,0.0237569291,0.7166666667,120,0.0288247097,0.6416666667,120,0.1191385327,0.1069101110,0.7416666667,120,0.1071864361,0.6916666667
symbol,000425.SZ,120,1,120,120,-0.0000583618,-0.0022805353,0.4500000000,120,-0.0005583277,0.4750000000,120,-0.0016471038,-0.0027807401,0.4833333333,120,-0.0053462282,0.4500000000,120,-0.0161070067,-0.0205738781,0.3916666667,120,-0.0280591033,0.3000000000
symbol,000538.SZ,120,1,120,120,-0.0010063769,-0.0007061692,0.4500000000,120,-0.0015063428,0.4083333333,120,-0.0050607638,-0.0039642131,0.4416666667,120,-0.0087598882,0.3750000000,120,-0.0193913961,-0.0101530742,0.3250000000,120,-0.0313434927,0.3250000000
symbol,000568.SZ,120,1,120,120,-0.0033661148,-0.0032504153,0.3666666667,120,-0.0038660806,0.3833333333,120,-0.0157622194,-0.0171855573,0.2666666667,120,-0.0194613438,0.2250000000,120,-0.0631632746,-0.0679217403,0.1250000000,120,-0.0751153712,0.1666666667
symbol,000596.SZ,120,1,120,120,-0.0043801759,-0.0066746313,0.4083333333,120,-0.0048801418,0.3833333333,120,-0.0226363017,-0.0284928416,0.2833333333,120,-0.0263354260,0.2333333333,120,-0.0887784861,-0.0944671836,0.0833333333,120,-0.1007305827,0.0416666667
symbol,000651.SZ,120,1,120,120,-0.0002507656,-0.0008967410,0.4583333333,120,-0.0007507314,0.4416666667,120,-0.0014476621,-0.0036420782,0.3833333333,120,-0.0051467864,0.4333333333,120,-0.0083641468,-0.0108810635,0.3583333333,120,-0.0203162434,0.2500000000
symbol,000725.SZ,120,1,120,120,0.0025207749,-0.0011467890,0.4666666667,120,0.0020208090,0.4583333333,120,0.0168417920,0.0047847164,0.5416666667,120,0.0131426677,0.4916666667,120,0.0753350360,0.0470880525,0.6666666667,120,0.0633829394,0.5666666667
symbol,000776.SZ,120,1,120,120,-0.0013285158,-0.0023523909,0.4333333333,120,-0.0018284817,0.4166666667,120,-0.0048530776,-0.0084679483,0.3833333333,120,-0.0085522019,0.3500000000,120,-0.0110320317,-0.0328126040,0.4666666667,120,-0.0229841283,0.4250000000
symbol,000786.SZ,120,1,120,120,0.0001575462,-0.0023442122,0.4583333333,120,-0.0003424196,0.3666666667,120,-0.0025564750,-0.0043175850,0.4500000000,120,-0.0062555994,0.4166666667,120,-0.0171636692,-0.0101209412,0.4250000000,120,-0.0291157658,0.2833333333
symbol,000895.SZ,120,1,120,120,-0.0004626681,-0.0015111932,0.4333333333,120,-0.0009626340,0.4916666667,120,-0.0031172752,-0.0065168776,0.4333333333,120,-0.0068163995,0.4333333333,120,-0.0146571501,-0.0122821593,0.4250000000,120,-0.0266092467,0.3750000000
