trade_date,symbol,signal_date,execution_date,recommendation_eligibility,actionability_status,risk_severity,warning_codes,evaluation_status,evaluation_reason,forward_return_1d,forward_return_5d,forward_return_20d,benchmark_excess_return_1d,benchmark_excess_return_5d,benchmark_excess_return_20d,label_source_path,label_source_trade_date,label_ready,diagnostic_mode,non_actionable_disclaimer
2024-06-17,000001.SZ,2024-06-17,2024-06-18,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.007883,0.0,,0.012633,0.024732,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-06-18,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-06-18,000001.SZ,2024-06-18,2024-06-19,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.011173,-0.007821,,-0.003955,0.00592,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-06-19,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-06-19,000001.SZ,2024-06-19,2024-06-20,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.00565,0.00904,,-0.003463,0.023073,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-06-20,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-06-20,000001.SZ,2024-06-20,2024-06-21,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.002273,0.017045,,0.003108,0.02676,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-06-21,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-06-21,000001.SZ,2024-06-21,2024-06-24,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.01139,0.042141,,0.016829,0.041747,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-06-24,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-06-24,000001.SZ,2024-06-24,2024-06-25,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.0,0.036036,,-0.006466,0.032019,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-06-25,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-06-25,000001.SZ,2024-06-25,2024-06-26,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.005631,0.025901,,0.013142,0.030743,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-06-26,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-06-26,000001.SZ,2024-06-26,2024-06-27,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.00224,0.014558,,5.7e-05,0.016964,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-06-27,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-06-27,000001.SZ,2024-06-27,2024-06-28,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.022346,-0.020112,,0.017574,-0.011272,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-06-28,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-06-28,000001.SZ,2024-06-28,2024-07-01,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.005464,-0.045902,,0.007301,-0.023931,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-01,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-01,000001.SZ,2024-07-01,2024-07-02,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.009783,-0.03587,,-0.007369,-0.026659,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-02,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
