trade_date,symbol,position_band_status,position_actionability_status,cost_bps,slippage_bps,total_cost_bps,gross_excess_return_1d,net_excess_return_1d,sensitivity_status,review_only,non_actionable_disclaimer
2026-06-16,002475.SZ,blocked_review_only_no_position_instruction,never_actionable,0,0,0,0.012,0.012000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-16,002475.SZ,blocked_review_only_no_position_instruction,never_actionable,5,5,10,0.012,0.011000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-16,002475.SZ,blocked_review_only_no_position_instruction,never_actionable,10,10,20,0.012,0.010000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-16,600036.SH,blocked_review_only_no_position_instruction,never_actionable,0,0,0,-0.001,-0.001000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-16,600036.SH,blocked_review_only_no_position_instruction,never_actionable,5,5,10,-0.001,-0.002000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-16,600036.SH,blocked_review_only_no_position_instruction,never_actionable,10,10,20,-0.001,-0.003000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-17,002475.SZ,blocked_review_only_no_position_instruction,never_actionable,0,0,0,-0.005,-0.005000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-17,002475.SZ,blocked_review_only_no_position_instruction,never_actionable,5,5,10,-0.005,-0.006000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-17,002475.SZ,blocked_review_only_no_position_instruction,never_actionable,10,10,20,-0.005,-0.007000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-17,600036.SH,blocked_review_only_no_position_instruction,never_actionable,0,0,0,0.006,0.006000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-17,600036.SH,blocked_review_only_no_position_instruction,never_actionable,5,5,10,0.006,0.005000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-17,600036.SH,blocked_review_only_no_position_instruction,never_actionable,10,10,20,0.006,0.004000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-18,002475.SZ,blocked_review_only_no_position_instruction,never_actionable,0,0,0,0.009,0.009000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-18,002475.SZ,blocked_review_only_no_position_instruction,never_actionable,5,5,10,0.009,0.008000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-18,002475.SZ,blocked_review_only_no_position_instruction,never_actionable,10,10,20,0.009,0.007000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-18,600036.SH,blocked_review_only_no_position_instruction,never_actionable,0,0,0,-0.004,-0.004000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-18,600036.SH,blocked_review_only_no_position_instruction,never_actionable,5,5,10,-0.004,-0.005000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-18,600036.SH,blocked_review_only_no_position_instruction,never_actionable,10,10,20,-0.004,-0.006000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-19,002475.SZ,blocked_review_only_no_position_instruction,never_actionable,0,0,0,0.003,0.003000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-19,002475.SZ,blocked_review_only_no_position_instruction,never_actionable,5,5,10,0.003,0.002000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-19,002475.SZ,blocked_review_only_no_position_instruction,never_actionable,10,10,20,0.003,0.001000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-19,600036.SH,blocked_review_only_no_position_instruction,never_actionable,0,0,0,0.006,0.006000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-19,600036.SH,blocked_review_only_no_position_instruction,never_actionable,5,5,10,0.006,0.005000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-19,600036.SH,blocked_review_only_no_position_instruction,never_actionable,10,10,20,0.006,0.004000,evaluable_review_only_1d,true,diagnostic_only_not_investment_advice_not_trade_instruction
