trade_date,existing_composite_regime_label,benchmark_trend_regime,benchmark_volatility_regime,breadth_regime,dispersion_regime,liquidity_regime,downside_risk_regime,broad_index_trend_5d,broad_index_trend_20d,broad_index_volatility_20d,market_turnover_level,market_liquidity_pressure,sector_breadth_positive_share,sector_dispersion_level,northbound_flow_level,margin_financing_pressure,suspension_pressure,st_risk_share,source_coverage_score,external_data_quality_score,no_lookahead_status,data_status,non_actionable_disclaimer
2025-11-19,insufficient_composite_regime_evidence_review_only,benchmark_trend_down_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,-0.0154015256,-0.0018344952,,1.3454060000,liquidity_stressed_review_only,0.3400000000,1.3994767104,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-11-20,insufficient_composite_regime_evidence_review_only,benchmark_trend_down_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_normal_review_only,downside_risk_low_review_only,-0.0108534855,-0.0026628341,,1.5511560000,liquidity_normal_review_only,0.3200000000,1.7583034742,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-11-21,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_high_review_only,liquidity_normal_review_only,downside_risk_mixed_review_only,0.0164033311,0.0257253243,,1.6830220000,liquidity_normal_review_only,0.0600000000,2.6783506276,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-11-24,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_mixed_review_only,dispersion_high_review_only,liquidity_normal_review_only,downside_risk_low_review_only,0.0288750944,0.0367747172,,1.5497320000,liquidity_normal_review_only,0.5200000000,2.4480862081,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-11-25,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_normal_review_only,downside_risk_low_review_only,0.0142370241,0.0290239764,,1.4580080000,liquidity_normal_review_only,0.7400000000,1.7451208198,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-11-26,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_medium_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,0.0029712733,0.0257730748,,1.4031340000,liquidity_stressed_review_only,0.5600000000,1.8923170004,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-11-27,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_mixed_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,0.0069016436,0.0281554068,,1.3681660000,liquidity_stressed_review_only,0.4000000000,1.4947294142,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-11-28,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,0.0127854046,0.0288465124,,1.2132440000,liquidity_stressed_review_only,0.7400000000,1.1054319658,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-01,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,0.0098916295,0.0137412210,,1.4698102041,liquidity_normal_review_only,0.6938775510,1.9971191034,not_available_offline_replay,not_available_offline_replay,0.0200000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-02,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,0.0096366435,0.0212867754,,1.3281653061,liquidity_stressed_review_only,0.2857142857,1.5474408267,not_available_offline_replay,not_available_offline_replay,0.0200000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
