trade_date,entity_id,entity_name,entity_type,amount,turnover,volume,net_flow,main_force_net_flow,large_order_net_flow,northbound_net_flow,stock_connect_holding,margin_balance,financing_balance,securities_lending_balance,margin_eligible_status,source_id,source_provider,provider_timestamp,pit_available_date,no_lookahead_status,data_status,non_actionable_disclaimer
2025-11-19,market,A-share committed provider02b universe,market,80320588417.7200012207,1.3454060000,2515429740.0000000000,,,,,,,,,not_available_offline_replay,market_turnover_proxy;market_capital_flow,baostock,2025-11-19,2025-11-19,passed_current_or_past_only,derived_liquidity_proxy_from_committed_panel,research_only_not_recommendation_or_position_output
2025-11-20,market,A-share committed provider02b universe,market,90642038811.3900146484,1.5511560000,2917774369.0000000000,,,,,,,,,not_available_offline_replay,market_turnover_proxy;market_capital_flow,baostock,2025-11-20,2025-11-20,passed_current_or_past_only,derived_liquidity_proxy_from_committed_panel,research_only_not_recommendation_or_position_output
2025-11-21,market,A-share committed provider02b universe,market,100970949290.4700317383,1.6830220000,3491007477.0000000000,,,,,,,,,not_available_offline_replay,market_turnover_proxy;market_capital_flow,baostock,2025-11-21,2025-11-21,passed_current_or_past_only,derived_liquidity_proxy_from_committed_panel,research_only_not_recommendation_or_position_output
2025-11-24,market,A-share committed provider02b universe,market,89697854121.2900085449,1.5497320000,2819065113.0000000000,,,,,,,,,not_available_offline_replay,market_turnover_proxy;market_capital_flow,baostock,2025-11-24,2025-11-24,passed_current_or_past_only,derived_liquidity_proxy_from_committed_panel,research_only_not_recommendation_or_position_output
2025-11-25,market,A-share committed provider02b universe,market,88432905753.5599975586,1.4580080000,2657262442.0000000000,,,,,,,,,not_available_offline_replay,market_turnover_proxy;market_capital_flow,baostock,2025-11-25,2025-11-25,passed_current_or_past_only,derived_liquidity_proxy_from_committed_panel,research_only_not_recommendation_or_position_output
2025-11-26,market,A-share committed provider02b universe,market,92354943915.5999908447,1.4031340000,2596457609.0000000000,,,,,,,,,not_available_offline_replay,market_turnover_proxy;market_capital_flow,baostock,2025-11-26,2025-11-26,passed_current_or_past_only,derived_liquidity_proxy_from_committed_panel,research_only_not_recommendation_or_position_output
2025-11-27,market,A-share committed provider02b universe,market,92068064302.2500000000,1.3681660000,2725961539.0000000000,,,,,,,,,not_available_offline_replay,market_turnover_proxy;market_capital_flow,baostock,2025-11-27,2025-11-27,passed_current_or_past_only,derived_liquidity_proxy_from_committed_panel,research_only_not_recommendation_or_position_output
2025-11-28,market,A-share committed provider02b universe,market,76551560836.8199920654,1.2132440000,2338894564.0000000000,,,,,,,,,not_available_offline_replay,market_turnover_proxy;market_capital_flow,baostock,2025-11-28,2025-11-28,passed_current_or_past_only,derived_liquidity_proxy_from_committed_panel,research_only_not_recommendation_or_position_output
2025-12-01,market,A-share committed provider02b universe,market,96654558605.9500122070,1.4404140000,3279677456.0000000000,,,,,,,,,not_available_offline_replay,market_turnover_proxy;market_capital_flow,baostock,2025-12-01,2025-12-01,passed_current_or_past_only,derived_liquidity_proxy_from_committed_panel,research_only_not_recommendation_or_position_output
2025-12-02,market,A-share committed provider02b universe,market,96328630766.0199890137,1.3016020000,2828327474.0000000000,,,,,,,,,not_available_offline_replay,market_turnover_proxy;market_capital_flow,baostock,2025-12-02,2025-12-02,passed_current_or_past_only,derived_liquidity_proxy_from_committed_panel,research_only_not_recommendation_or_position_output
