trade_date,board_id,board_name,board_type,classification_system,open,high,low,close,volume,amount,turnover,constituent_count,positive_constituent_share,negative_constituent_share,trailing_return_5d,trailing_return_20d,trailing_volatility_20d,source_id,source_provider,provider_timestamp,pit_available_date,no_lookahead_status,data_status,non_actionable_disclaimer
2025-11-19,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.3400000000,0.6000000000,-0.0154015256,-0.0018344952,,market_breadth_proxy,baostock,2025-11-19,2025-11-19,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-11-19,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.3400000000,0.6000000000,-0.0154015256,-0.0018344952,,industry_indices,baostock,2025-11-19,2025-11-19,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-11-19,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.3454060000,50,0.3400000000,0.6000000000,-0.0154015256,-0.0018344952,,market_turnover_proxy,baostock,2025-11-19,2025-11-19,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-11-20,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.3200000000,0.6800000000,-0.0108534855,-0.0026628341,,market_breadth_proxy,baostock,2025-11-20,2025-11-20,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-11-20,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.3200000000,0.6800000000,-0.0108534855,-0.0026628341,,industry_indices,baostock,2025-11-20,2025-11-20,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-11-20,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.5511560000,50,0.3200000000,0.6800000000,-0.0108534855,-0.0026628341,,market_turnover_proxy,baostock,2025-11-20,2025-11-20,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-11-21,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.0600000000,0.9200000000,0.0164033311,0.0257253243,,market_breadth_proxy,baostock,2025-11-21,2025-11-21,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-11-21,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.0600000000,0.9200000000,0.0164033311,0.0257253243,,industry_indices,baostock,2025-11-21,2025-11-21,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-11-21,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.6830220000,50,0.0600000000,0.9200000000,0.0164033311,0.0257253243,,market_turnover_proxy,baostock,2025-11-21,2025-11-21,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-11-24,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.5200000000,0.4800000000,0.0288750944,0.0367747172,,market_breadth_proxy,baostock,2025-11-24,2025-11-24,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-11-24,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.5200000000,0.4800000000,0.0288750944,0.0367747172,,industry_indices,baostock,2025-11-24,2025-11-24,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-11-24,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.5497320000,50,0.5200000000,0.4800000000,0.0288750944,0.0367747172,,market_turnover_proxy,baostock,2025-11-24,2025-11-24,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-11-25,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.7400000000,0.2000000000,0.0142370241,0.0290239764,,market_breadth_proxy,baostock,2025-11-25,2025-11-25,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
