event_date,trade_date_effective,symbol,event_type,event_subtype,event_title_or_label,event_value,publication_time,pit_available_date,source_id,source_provider,provider_timestamp,no_lookahead_status,data_status,research_context_only,non_actionable_disclaimer
2025-12-01,2025-12-01,002812.SZ,trading_status,suspension_status,trading_status=not_trading,1,2025-12-01,2025-12-01,ashare_st_risk_warning;ashare_suspension_resumption,baostock,2025-12-01,passed_current_or_past_only,committed_status_context,true,research_only_not_recommendation_or_position_output
2025-12-02,2025-12-02,002812.SZ,trading_status,suspension_status,trading_status=not_trading,1,2025-12-02,2025-12-02,ashare_st_risk_warning;ashare_suspension_resumption,baostock,2025-12-02,passed_current_or_past_only,committed_status_context,true,research_only_not_recommendation_or_position_output
2025-12-03,2025-12-03,002812.SZ,trading_status,suspension_status,trading_status=not_trading,1,2025-12-03,2025-12-03,ashare_st_risk_warning;ashare_suspension_resumption,baostock,2025-12-03,passed_current_or_past_only,committed_status_context,true,research_only_not_recommendation_or_position_output
2025-12-04,2025-12-04,002812.SZ,trading_status,suspension_status,trading_status=not_trading,1,2025-12-04,2025-12-04,ashare_st_risk_warning;ashare_suspension_resumption,baostock,2025-12-04,passed_current_or_past_only,committed_status_context,true,research_only_not_recommendation_or_position_output
2025-12-05,2025-12-05,002812.SZ,trading_status,suspension_status,trading_status=not_trading,1,2025-12-05,2025-12-05,ashare_st_risk_warning;ashare_suspension_resumption,baostock,2025-12-05,passed_current_or_past_only,committed_status_context,true,research_only_not_recommendation_or_position_output
2025-12-08,2025-12-08,002812.SZ,trading_status,suspension_status,trading_status=not_trading,1,2025-12-08,2025-12-08,ashare_st_risk_warning;ashare_suspension_resumption,baostock,2025-12-08,passed_current_or_past_only,committed_status_context,true,research_only_not_recommendation_or_position_output
2025-12-09,2025-12-09,002812.SZ,trading_status,suspension_status,trading_status=not_trading,1,2025-12-09,2025-12-09,ashare_st_risk_warning;ashare_suspension_resumption,baostock,2025-12-09,passed_current_or_past_only,committed_status_context,true,research_only_not_recommendation_or_position_output
2025-12-10,2025-12-10,002812.SZ,trading_status,suspension_status,trading_status=not_trading,1,2025-12-10,2025-12-10,ashare_st_risk_warning;ashare_suspension_resumption,baostock,2025-12-10,passed_current_or_past_only,committed_status_context,true,research_only_not_recommendation_or_position_output
2025-12-11,2025-12-11,002812.SZ,trading_status,suspension_status,trading_status=not_trading,1,2025-12-11,2025-12-11,ashare_st_risk_warning;ashare_suspension_resumption,baostock,2025-12-11,passed_current_or_past_only,committed_status_context,true,research_only_not_recommendation_or_position_output
2025-12-12,2025-12-12,002812.SZ,trading_status,suspension_status,trading_status=not_trading,1,2025-12-12,2025-12-12,ashare_st_risk_warning;ashare_suspension_resumption,baostock,2025-12-12,passed_current_or_past_only,committed_status_context,true,research_only_not_recommendation_or_position_output
