column_name,reason,allowed_for_scoring
as_of_date,identifier_or_label_or_post_target,false
target_trading_date,identifier_or_label_or_post_target,false
decision_cutoff_ts,identifier_or_label_or_post_target,false
symbol,identifier_or_label_or_post_target,false
pit_ready,identifier_or_label_or_post_target,false
contract_version,identifier_or_label_or_post_target,false
next_trading_day,identifier_or_label_or_post_target,false
label_observation_ts,identifier_or_label_or_post_target,false
label_is_pit_safe,identifier_or_label_or_post_target,false
stock_return_1d,identifier_or_label_or_post_target,false
benchmark_return_1d,identifier_or_label_or_post_target,false
alpha_return_1d,identifier_or_label_or_post_target,false
label_positive,identifier_or_label_or_post_target,false
