trade_date,symbol,open,high,low,close,pre_close,volume,amount,turnover,pct_chg,adjustment_mode,trading_status,is_st,pe_ttm,pb,benchmark_symbol,benchmark_return_1d,benchmark_return_5d,benchmark_return_20d,forward_return_1d,forward_return_5d,forward_return_20d,benchmark_excess_return_1d,benchmark_excess_return_5d,benchmark_excess_return_20d,label_ready_1d,label_ready_5d,label_ready_20d,source_provider,source_provider_priority,crosscheck_provider,crosscheck_status,source_warning_codes,panel_contract_status,universe_mode,non_actionable_disclaimer
2025-11-19,000001.SZ,11.58,11.83,11.57,11.8,11.59,133499619,1565428546.57,0.6879,1.8119,baostock_adjustflag_3_unadjusted,trading,false,5.310771,0.511164,000300.SH,-0.0050877100,-0.0154015256,-0.0018344952,0.0042372881,-0.0093220339,-0.0228813559,0.0093249981,0.0060794917,-0.0210468607,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-11-20,000001.SZ,11.79,11.99,11.74,11.85,11.8,163703985,1948415939.65,0.8436,0.4237,baostock_adjustflag_3_unadjusted,trading,false,5.333275,0.51333,000300.SH,-0.0243903529,-0.0108534855,-0.0026628341,-0.0135021097,-0.0118143460,-0.0177215190,0.0108882432,-0.0009608605,-0.0150586849,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-11-21,000001.SZ,11.8,11.88,11.66,11.69,11.85,146535888,1721871193.26,0.7551,-1.3502,baostock_adjustflag_3_unadjusted,trading,false,5.261264,0.506399,000300.SH,-0.0012483812,0.0164033311,0.0257253243,-0.0076988879,-0.0068434559,-0.0059880240,-0.0064505067,-0.0232467870,-0.0317133483,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-11-24,000001.SZ,11.7,11.73,11.6,11.6,11.69,111711880,1302444629.51,0.5757,-0.7699,baostock_adjustflag_3_unadjusted,trading,false,5.220758,0.5025,000300.SH,0.0095225820,0.0288750944,0.0367747172,0.0172413793,0.0077586207,-0.0068965517,0.0077187973,-0.0211164737,-0.0436712689,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-11-25,000001.SZ,11.61,11.8,11.58,11.8,11.6,102808052,1203879796.74,0.5298,1.7241,baostock_adjustflag_3_unadjusted,trading,false,5.310771,0.511164,000300.SH,0.0060619926,0.0142370241,0.0290239764,-0.0093220339,-0.0135593220,-0.0203389831,-0.0153840265,-0.0277963461,-0.0493629594,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-11-26,000001.SZ,11.81,11.85,11.65,11.69,11.8,82130109,962935429.85,0.4232,-0.9322,baostock_adjustflag_3_unadjusted,trading,false,5.261264,0.506399,000300.SH,-0.0004920284,0.0029712733,0.0257730748,0.0017108640,-0.0119760479,-0.0128314799,0.0022028924,-0.0149473212,-0.0386045547,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-11-27,000001.SZ,11.66,11.71,11.58,11.71,11.69,101184710,1178308953.13,0.5214,0.1711,baostock_adjustflag_3_unadjusted,trading,false,5.270265,0.507266,000300.SH,0.0024934432,0.0069016436,0.0281554068,-0.0085397096,-0.0187873612,-0.0128095645,-0.0110331528,-0.0256890048,-0.0409649713,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-11-28,000001.SZ,11.67,11.68,11.58,11.61,11.71,88435845,1027933463.87,0.4557,-0.854,baostock_adjustflag_3_unadjusted,trading,false,5.225259,0.502934,000300.SH,0.0110067870,0.0127854046,0.0288465124,0.0068906115,-0.0068906115,-0.0060292851,-0.0041161754,-0.0196760161,-0.0348757975,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-12-01,000001.SZ,11.6,11.7,11.53,11.69,11.61,103732271,1205480322.84,0.5345,0.6891,baostock_adjustflag_3_unadjusted,trading,false,5.261264,0.506399,000300.SH,-0.0048401551,0.0098916295,0.0137412210,-0.0042771600,-0.0145423439,-0.0111206159,0.0005629951,-0.0244339734,-0.0248618369,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-12-02,000001.SZ,11.68,11.73,11.59,11.64,11.69,76805993,894720591.59,0.3958,-0.4277,baostock_adjustflag_3_unadjusted,trading,false,5.238761,0.504233,000300.SH,-0.0051129532,0.0096366435,0.0212867754,-0.0077319588,-0.0180412371,-0.0137457045,-0.0026190056,-0.0276778806,-0.0350324799,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
