distribution_name,group_type,group_value,row_count,share,unique_symbols,unique_trade_dates,dominant_bucket_share,minimum_bucket_size_warning,collapse_detected,original_low_rows,original_medium_rows,original_high_rows,original_insufficient_rows,diagnostic_status,notes
downside_risk_bucket_distribution,downside_risk_bucket,LOW_DOWNSIDE_RISK_REVIEW_ONLY,3864,0.6440000000,50,120,0.6440000000,false,false,2891,2821,278,10,PASS,Downside risk bucket row count and share.
downside_risk_bucket_distribution,downside_risk_bucket,MEDIUM_DOWNSIDE_RISK_REVIEW_ONLY,1887,0.3145000000,49,120,0.6440000000,false,false,2891,2821,278,10,PASS,Downside risk bucket row count and share.
downside_risk_bucket_distribution,downside_risk_bucket,HIGH_DOWNSIDE_RISK_REVIEW_ONLY,239,0.0398333333,41,75,0.6440000000,false,false,2891,2821,278,10,PASS,Downside risk bucket row count and share.
downside_risk_bucket_distribution,downside_risk_bucket,INSUFFICIENT_DOWNSIDE_EVIDENCE_REVIEW_ONLY,10,0.0016666667,1,10,0.6440000000,true,false,2891,2821,278,10,PASS_WITH_WARNINGS,Downside risk bucket row count and share.
goal_risk_tiering01_bucket_distribution,original_risk_score_bucket,LOW_RISK_REVIEW_ONLY,2891,0.4818333333,48,120,0.6440000000,true,false,2891,2821,278,10,PASS,GOAL-RISK-TIERING-01 bucket distribution for comparison.
goal_risk_tiering01_bucket_distribution,original_risk_score_bucket,MEDIUM_RISK_REVIEW_ONLY,2821,0.4701666667,49,120,0.6440000000,true,false,2891,2821,278,10,PASS,GOAL-RISK-TIERING-01 bucket distribution for comparison.
goal_risk_tiering01_bucket_distribution,original_risk_score_bucket,HIGH_RISK_REVIEW_ONLY,278,0.0463333333,28,101,0.6440000000,true,false,2891,2821,278,10,PASS,GOAL-RISK-TIERING-01 bucket distribution for comparison.
goal_risk_tiering01_bucket_distribution,original_risk_score_bucket,INSUFFICIENT_EVIDENCE_REVIEW_ONLY,10,0.0016666667,1,10,0.6440000000,true,false,2891,2821,278,10,PASS,GOAL-RISK-TIERING-01 bucket distribution for comparison.
dominant_bucket_share,diagnostic,dominant_bucket_share,3864,0.6440000000,50,120,0.6440000000,true,false,2891,2821,278,10,PASS,Dominant downside bucket share compared with collapse threshold.
minimum_bucket_size_warning,diagnostic,represented_bucket_minimum,10,0.0016666667,50,120,0.6440000000,true,false,2891,2821,278,10,PASS_WITH_WARNINGS,Warns when any represented downside risk bucket has fewer than 30 rows.
