model_name,target,feature,fold_count,positive_sign_count,negative_sign_count,zero_sign_count,sign_instability,mean_weight,warnings
linear_regression,excess_fwd_3d_return,market_trend_5d,3,2,1,0,true,0.002884,feature_sign_instability
linear_regression,excess_fwd_3d_return,relative_strength_20d,3,2,1,0,true,-0.00104,feature_sign_instability
linear_regression,excess_fwd_3d_return,source_count,3,0,0,3,false,0.0,
linear_regression,excess_fwd_3d_return,source_health_score,3,0,0,3,false,0.0,
linear_regression,excess_fwd_3d_return,stock_gap_signal,3,3,0,0,false,0.001855,
linear_regression,excess_fwd_3d_return,stock_momentum_20d,3,1,2,0,true,0.001165,feature_sign_instability
linear_regression,excess_fwd_3d_return,stock_momentum_5d,3,0,3,0,false,-0.007361,
linear_regression,excess_fwd_3d_return,stock_volatility_20d,3,2,1,0,true,0.002517,feature_sign_instability
linear_regression,excess_fwd_3d_return,turnover_proxy,3,3,0,0,false,0.001122,
logistic_direction_classifier,excess_fwd_3d_return,market_trend_5d,3,0,3,0,false,-0.071122,
logistic_direction_classifier,excess_fwd_3d_return,relative_strength_20d,3,1,2,0,true,-0.014505,feature_sign_instability
logistic_direction_classifier,excess_fwd_3d_return,source_count,3,0,0,3,false,0.0,
logistic_direction_classifier,excess_fwd_3d_return,source_health_score,3,0,0,3,false,0.0,
logistic_direction_classifier,excess_fwd_3d_return,stock_gap_signal,3,3,0,0,false,0.038723,
logistic_direction_classifier,excess_fwd_3d_return,stock_momentum_20d,3,3,0,0,false,0.007631,
logistic_direction_classifier,excess_fwd_3d_return,stock_momentum_5d,3,0,3,0,false,-0.095909,
logistic_direction_classifier,excess_fwd_3d_return,stock_volatility_20d,3,2,1,0,true,0.016947,feature_sign_instability
logistic_direction_classifier,excess_fwd_3d_return,turnover_proxy,3,3,0,0,false,0.04936,
ridge_regression,excess_fwd_3d_return,market_trend_5d,3,2,1,0,true,0.002875,feature_sign_instability
ridge_regression,excess_fwd_3d_return,relative_strength_20d,3,2,1,0,true,-0.000927,feature_sign_instability
ridge_regression,excess_fwd_3d_return,source_count,3,0,0,3,false,0.0,
ridge_regression,excess_fwd_3d_return,source_health_score,3,0,0,3,false,0.0,
ridge_regression,excess_fwd_3d_return,stock_gap_signal,3,3,0,0,false,0.001854,
ridge_regression,excess_fwd_3d_return,stock_momentum_20d,3,1,2,0,true,0.001053,feature_sign_instability
ridge_regression,excess_fwd_3d_return,stock_momentum_5d,3,0,3,0,false,-0.007346,
ridge_regression,excess_fwd_3d_return,stock_volatility_20d,3,2,1,0,true,0.002514,feature_sign_instability
ridge_regression,excess_fwd_3d_return,turnover_proxy,3,3,0,0,false,0.001122,
score_based_alpha_ranking,excess_fwd_3d_return,market_trend_5d,3,3,0,0,false,0.15,
score_based_alpha_ranking,excess_fwd_3d_return,relative_strength_20d,3,3,0,0,false,0.3,
score_based_alpha_ranking,excess_fwd_3d_return,source_count,3,0,0,3,false,0.0,
score_based_alpha_ranking,excess_fwd_3d_return,source_health_score,3,0,0,3,false,0.0,
score_based_alpha_ranking,excess_fwd_3d_return,stock_gap_signal,3,3,0,0,false,0.1,
score_based_alpha_ranking,excess_fwd_3d_return,stock_momentum_20d,3,3,0,0,false,0.25,
score_based_alpha_ranking,excess_fwd_3d_return,stock_momentum_5d,3,3,0,0,false,0.2,
score_based_alpha_ranking,excess_fwd_3d_return,stock_volatility_20d,3,0,3,0,false,-0.1,
score_based_alpha_ranking,excess_fwd_3d_return,turnover_proxy,3,0,0,3,false,0.0,
