model_name,target,fold_name,train_start,train_end,test_start,test_end,train_rows,test_rows,mae,rmse,spearman,pearson,directional_accuracy,mean_daily_ic,ic_information_ratio,review_only
score_based_alpha_ranking,excess_fwd_3d_return,walk_forward_1,2024-06-17,2024-08-21,2024-09-05,2024-10-17,2400,1200,0.095097,0.151841,-0.133263,-0.10796,0.480833,-0.048281,-0.176981,true
score_based_alpha_ranking,excess_fwd_3d_return,walk_forward_2,2024-06-17,2024-10-17,2024-10-18,2024-11-20,3600,1200,0.080383,0.119757,-0.07773,0.006541,0.475833,-0.073165,-0.246424,true
score_based_alpha_ranking,excess_fwd_3d_return,walk_forward_3,2024-06-17,2024-11-20,2024-11-21,2024-12-24,4800,1200,0.039739,0.055458,-0.004821,0.069728,0.5275,0.006709,0.02706,true
ridge_regression,excess_fwd_3d_return,walk_forward_1,2024-06-17,2024-08-21,2024-09-05,2024-10-17,2400,1200,0.043111,0.072553,0.044853,0.00122,0.498333,0.029846,0.118333,true
ridge_regression,excess_fwd_3d_return,walk_forward_2,2024-06-17,2024-10-17,2024-10-18,2024-11-20,3600,1200,0.029939,0.04393,-0.00043,0.082079,0.495833,-0.019887,-0.09776,true
ridge_regression,excess_fwd_3d_return,walk_forward_3,2024-06-17,2024-11-20,2024-11-21,2024-12-24,4800,1200,0.02211,0.030703,-0.099553,-0.04277,0.480833,-0.116876,-0.447318,true
linear_regression,excess_fwd_3d_return,walk_forward_1,2024-06-17,2024-08-21,2024-09-05,2024-10-17,2400,1200,0.04322,0.07261,0.042574,-0.001519,0.495833,0.029982,0.119101,true
linear_regression,excess_fwd_3d_return,walk_forward_2,2024-06-17,2024-10-17,2024-10-18,2024-11-20,3600,1200,0.029943,0.043935,-0.000422,0.082117,0.496667,-0.019987,-0.098138,true
linear_regression,excess_fwd_3d_return,walk_forward_3,2024-06-17,2024-11-20,2024-11-21,2024-12-24,4800,1200,0.022112,0.030705,-0.099727,-0.042794,0.481667,-0.117033,-0.447966,true
logistic_direction_classifier,excess_fwd_3d_return,walk_forward_1,2024-06-17,2024-08-21,2024-09-05,2024-10-17,2400,1200,0.152953,0.20692,0.105781,0.078492,0.509167,0.038745,0.174139,true
logistic_direction_classifier,excess_fwd_3d_return,walk_forward_2,2024-06-17,2024-10-17,2024-10-18,2024-11-20,3600,1200,0.051682,0.078973,-0.024225,0.049511,0.465833,-0.068488,-0.447386,true
logistic_direction_classifier,excess_fwd_3d_return,walk_forward_3,2024-06-17,2024-11-20,2024-11-21,2024-12-24,4800,1200,0.036315,0.046587,-0.086677,-0.041473,0.578333,-0.11007,-0.430495,true
