symbol,model_name,target,row_count,mae,spearman,directional_accuracy,mean_prediction,mean_label,concentration_warning
000001.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.016483,-0.395253,0.388889,0.006543,0.005161,
000002.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.025225,-0.034056,0.944444,-0.040828,-0.024958,
000063.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.070512,-0.141383,0.5,0.015884,0.041216,
000100.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.051544,-0.219814,0.5,-0.004841,0.014407,
000157.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.024374,-0.607843,0.277778,-0.008306,0.002464,
000166.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.014437,0.052632,0.5,-0.009415,0.000909,
000333.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.02385,-0.618163,0.611111,0.014652,0.011898,
000338.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.027513,-0.545924,0.333333,-0.010995,0.00342,
000425.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.034757,-0.47162,0.222222,0.005809,-0.011766,
000538.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.019736,-0.374613,0.388889,0.009656,0.006026,
000568.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.037358,-0.166151,0.666667,-0.025943,-0.013432,
000596.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.049997,-0.535604,0.666667,-0.032905,-0.016715,
000651.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.020447,-0.048504,0.611111,0.002478,0.011499,
000725.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.024936,-0.430341,0.444444,-0.013456,0.000327,
000776.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.009855,0.292054,0.833333,-0.007008,-0.002938,
000786.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.053243,-0.459236,0.277778,-0.028334,0.008441,
000895.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.029617,-0.539732,0.388889,0.022707,0.007406,
000938.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.051758,0.141383,0.388889,-0.017034,0.018581,
000963.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.049589,-0.399381,0.388889,0.035636,-0.013672,
001979.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.03283,-0.547988,0.666667,-0.010906,-0.027022,
002236.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.02468,-0.085655,0.611111,-0.013977,0.002261,
002241.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.055763,0.093911,0.555556,0.055569,0.010188,
002271.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.054393,-0.675955,0.5,-0.040013,-0.00462,
002304.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.02399,-0.320949,0.5,-0.010845,-0.007498,
002311.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.047577,-0.446852,0.166667,0.009416,0.004142,
002352.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.032115,-0.201238,0.666667,-0.032975,-0.004311,
002371.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.056224,-0.465428,0.444444,-0.035765,-0.004044,
002415.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.022849,-0.364293,0.555556,-0.004858,0.00524,
002459.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.038207,-0.469556,1.0,-0.060257,-0.033228,
002460.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.073377,-0.364293,0.5,-0.000446,-0.026403,
002466.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.040049,0.192982,0.666667,-0.040214,-0.02008,
002475.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.026284,0.120743,0.555556,0.007019,0.005501,
002493.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.022183,0.029928,0.611111,-0.020918,-0.011325,
002594.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.025174,0.205366,0.555556,-0.023042,0.001596,
002601.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.02641,-0.263158,0.611111,-0.03187,-0.00693,
002714.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.033613,-0.473684,0.722222,-0.042167,-0.009677,
002736.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.024936,0.031992,0.722222,-0.029226,-0.00429,
002812.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.043311,-0.071207,0.777778,-0.043224,-0.0212,
002821.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.050266,-0.372549,0.666667,-0.03293,-0.012925,
002841.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.036037,0.329205,0.611111,0.016213,-0.003591,
002916.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.07366,0.048504,0.666667,0.004184,0.040156,
002920.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.052377,-0.364293,0.722222,-0.053886,-0.012567,
300014.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.028572,0.067079,0.777778,-0.026558,-0.010889,
300015.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.027757,0.211558,0.666667,-0.027723,-0.011966,
300033.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.109269,0.091847,0.5,0.093922,-0.012897,
300059.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.03312,0.143447,0.555556,0.007114,-0.008562,
300122.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.02259,0.083591,0.722222,-0.016752,-0.009456,
300124.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.026156,0.223942,0.388889,0.013354,-0.007997,
300502.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.07658,-0.399381,0.277778,-0.014059,0.011319,
300628.SZ,score_based_alpha_ranking,excess_fwd_3d_return,18,0.034451,-0.067079,0.5,-0.010604,0.004342,
