score_variant,target,split,decile,row_count,mean_score,mean_label,label_positive_rate,review_only
raw_score_based_alpha_ranking,excess_fwd_3d_return,test,1,90,-0.07531,-0.003832,0.3,true
raw_score_based_alpha_ranking,excess_fwd_3d_return,test,2,90,-0.049065,0.004441,0.366667,true
raw_score_based_alpha_ranking,excess_fwd_3d_return,test,3,90,-0.036665,-0.004931,0.388889,true
raw_score_based_alpha_ranking,excess_fwd_3d_return,test,4,90,-0.027016,-0.003959,0.322222,true
raw_score_based_alpha_ranking,excess_fwd_3d_return,test,5,90,-0.016814,0.000661,0.488889,true
raw_score_based_alpha_ranking,excess_fwd_3d_return,test,6,90,-0.008776,-0.005178,0.366667,true
raw_score_based_alpha_ranking,excess_fwd_3d_return,test,7,90,-0.000177,-0.007877,0.366667,true
raw_score_based_alpha_ranking,excess_fwd_3d_return,test,8,90,0.011272,-0.001966,0.444444,true
raw_score_based_alpha_ranking,excess_fwd_3d_return,test,9,90,0.025705,-0.004392,0.388889,true
raw_score_based_alpha_ranking,excess_fwd_3d_return,test,10,90,0.076421,-0.00066,0.4,true
zscore_cross_sectional_score,excess_fwd_3d_return,test,1,90,-1.540633,0.003699,0.333333,true
zscore_cross_sectional_score,excess_fwd_3d_return,test,2,90,-0.947242,-0.003841,0.333333,true
zscore_cross_sectional_score,excess_fwd_3d_return,test,3,90,-0.640876,-0.004655,0.311111,true
zscore_cross_sectional_score,excess_fwd_3d_return,test,4,90,-0.412643,-0.002604,0.388889,true
zscore_cross_sectional_score,excess_fwd_3d_return,test,5,90,-0.179513,-0.002279,0.455556,true
zscore_cross_sectional_score,excess_fwd_3d_return,test,6,90,0.027291,-0.006031,0.355556,true
zscore_cross_sectional_score,excess_fwd_3d_return,test,7,90,0.232959,-0.006354,0.366667,true
zscore_cross_sectional_score,excess_fwd_3d_return,test,8,90,0.525165,-0.004184,0.388889,true
zscore_cross_sectional_score,excess_fwd_3d_return,test,9,90,0.932346,-0.002779,0.433333,true
zscore_cross_sectional_score,excess_fwd_3d_return,test,10,90,2.003145,0.001336,0.466667,true
rank_normalized_score,excess_fwd_3d_return,test,1,90,-0.459184,0.004363,0.355556,true
rank_normalized_score,excess_fwd_3d_return,test,2,90,-0.357143,-0.004578,0.311111,true
rank_normalized_score,excess_fwd_3d_return,test,3,90,-0.255102,-0.005711,0.333333,true
rank_normalized_score,excess_fwd_3d_return,test,4,90,-0.153061,-0.002038,0.377778,true
