feature_name,target,fold_name,spearman,observed_direction,expected_direction_if_defined,score_variants_using_feature
market_trend_5d,excess_fwd_1d_return,full_review_panel,-0.025136,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
market_trend_5d,excess_fwd_3d_return,full_review_panel,-0.045079,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
market_trend_5d,excess_fwd_5d_return,full_review_panel,-0.047472,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
market_trend_5d,excess_fwd_1d_return,walk_forward_1,-0.006427,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
market_trend_5d,excess_fwd_3d_return,walk_forward_1,-0.114836,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
market_trend_5d,excess_fwd_5d_return,walk_forward_1,-0.144121,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
market_trend_5d,excess_fwd_1d_return,walk_forward_2,-0.003519,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
market_trend_5d,excess_fwd_3d_return,walk_forward_2,-0.039632,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
market_trend_5d,excess_fwd_5d_return,walk_forward_2,-0.074482,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
market_trend_5d,excess_fwd_1d_return,walk_forward_3,-0.0578,negative,positive,raw_score_based_alpha_ranking;zscore_cross_sectional_score;rank_normalized_score;winsorized_rank_score;volatility_adjusted_rank_score;market_regime_adjusted_rank_score_review_only
