score_variant,target,fold_name,train_start,train_end,test_start,test_end,train_rows,test_rows,spearman,pearson,directional_accuracy,mean_daily_ic,ic_information_ratio,review_only
raw_score_based_alpha_ranking,excess_fwd_3d_return,walk_forward_1,2024-06-17,2024-08-21,2024-09-05,2024-10-17,2400,1200,-0.133263,-0.10796,0.480833,-0.048281,-0.176981,true
raw_score_based_alpha_ranking,excess_fwd_3d_return,walk_forward_2,2024-06-17,2024-10-17,2024-10-18,2024-11-20,3600,1200,-0.07773,0.006541,0.475833,-0.073165,-0.246424,true
raw_score_based_alpha_ranking,excess_fwd_3d_return,walk_forward_3,2024-06-17,2024-11-20,2024-11-21,2024-12-24,4800,1200,-0.004821,0.069728,0.5275,0.006709,0.02706,true
zscore_cross_sectional_score,excess_fwd_3d_return,walk_forward_1,2024-06-17,2024-08-21,2024-09-05,2024-10-17,2400,1200,-0.018256,0.0575,0.521667,-0.048281,-0.176981,true
zscore_cross_sectional_score,excess_fwd_3d_return,walk_forward_2,2024-06-17,2024-10-17,2024-10-18,2024-11-20,3600,1200,-0.090014,0.030114,0.485,-0.073165,-0.246424,true
zscore_cross_sectional_score,excess_fwd_3d_return,walk_forward_3,2024-06-17,2024-11-20,2024-11-21,2024-12-24,4800,1200,0.008538,0.039901,0.506667,0.006709,0.02706,true
rank_normalized_score,excess_fwd_3d_return,walk_forward_1,2024-06-17,2024-08-21,2024-09-05,2024-10-17,2400,1200,-0.03973,0.020149,0.513333,-0.048281,-0.176981,true
rank_normalized_score,excess_fwd_3d_return,walk_forward_2,2024-06-17,2024-10-17,2024-10-18,2024-11-20,3600,1200,-0.087342,-0.024055,0.471667,-0.073165,-0.246424,true
rank_normalized_score,excess_fwd_3d_return,walk_forward_3,2024-06-17,2024-11-20,2024-11-21,2024-12-24,4800,1200,0.005939,-0.016221,0.509167,0.006709,0.02706,true
winsorized_rank_score,excess_fwd_3d_return,walk_forward_1,2024-06-17,2024-08-21,2024-09-05,2024-10-17,2400,1200,-0.040137,0.016187,0.513333,-0.049249,-0.18116,true
winsorized_rank_score,excess_fwd_3d_return,walk_forward_2,2024-06-17,2024-10-17,2024-10-18,2024-11-20,3600,1200,-0.089187,-0.02621,0.471667,-0.0748,-0.251981,true
winsorized_rank_score,excess_fwd_3d_return,walk_forward_3,2024-06-17,2024-11-20,2024-11-21,2024-12-24,4800,1200,0.004585,-0.019221,0.509167,0.005159,0.020601,true
volatility_adjusted_rank_score,excess_fwd_3d_return,walk_forward_1,2024-06-17,2024-08-21,2024-09-05,2024-10-17,2400,1200,-0.039403,0.020208,0.515,-0.047871,-0.175463,true
volatility_adjusted_rank_score,excess_fwd_3d_return,walk_forward_2,2024-06-17,2024-10-17,2024-10-18,2024-11-20,3600,1200,-0.087509,-0.024089,0.471667,-0.073339,-0.247167,true
volatility_adjusted_rank_score,excess_fwd_3d_return,walk_forward_3,2024-06-17,2024-11-20,2024-11-21,2024-12-24,4800,1200,0.005338,-0.016871,0.509167,0.006229,0.025194,true
market_regime_adjusted_rank_score_review_only,excess_fwd_3d_return,walk_forward_1,2024-06-17,2024-08-21,2024-09-05,2024-10-17,2400,1200,-0.03973,0.020149,0.513333,-0.048281,-0.176981,true
market_regime_adjusted_rank_score_review_only,excess_fwd_3d_return,walk_forward_2,2024-06-17,2024-10-17,2024-10-18,2024-11-20,3600,1200,-0.087342,-0.024055,0.471667,-0.073165,-0.246424,true
market_regime_adjusted_rank_score_review_only,excess_fwd_3d_return,walk_forward_3,2024-06-17,2024-11-20,2024-11-21,2024-12-24,4800,1200,0.005939,-0.016221,0.509167,0.006709,0.02706,true
