score_variant,target,split,rows,spearman,pearson,directional_accuracy,mean_daily_ic,ic_information_ratio,calibration_error,review_only
raw_score_based_alpha_ranking,excess_fwd_1d_return,test,900,-0.032119,-0.047996,0.514444,0.002052,0.007995,0.033244,true
raw_score_based_alpha_ranking,excess_fwd_3d_return,test,900,0.035451,0.035738,0.555556,0.050146,0.207507,0.032896,true
raw_score_based_alpha_ranking,excess_fwd_5d_return,test,900,0.073445,0.004084,0.553333,0.06767,0.293074,0.032193,true
zscore_cross_sectional_score,excess_fwd_1d_return,test,900,0.02245,-0.012145,0.532222,0.002052,0.007995,0.744376,true
zscore_cross_sectional_score,excess_fwd_3d_return,test,900,0.049531,0.008304,0.526667,0.050146,0.207507,0.745015,true
zscore_cross_sectional_score,excess_fwd_5d_return,test,900,0.065888,-0.02644,0.526667,0.06767,0.293074,0.745547,true
rank_normalized_score,excess_fwd_1d_return,test,900,0.015165,-0.019963,0.515556,0.002052,0.007995,0.255127,true
rank_normalized_score,excess_fwd_3d_return,test,900,0.049165,-0.012034,0.53,0.050146,0.207507,0.255234,true
rank_normalized_score,excess_fwd_5d_return,test,900,0.06431,-0.023105,0.523333,0.06767,0.293074,0.255546,true
winsorized_rank_score,excess_fwd_1d_return,test,900,0.016947,-0.018178,0.515556,0.004245,0.01637,0.255127,true
winsorized_rank_score,excess_fwd_3d_return,test,900,0.050457,-0.012247,0.53,0.051267,0.211122,0.255234,true
winsorized_rank_score,excess_fwd_5d_return,test,900,0.066989,-0.022464,0.523333,0.07061,0.308492,0.255546,true
volatility_adjusted_rank_score,excess_fwd_1d_return,test,900,0.015288,-0.019978,0.515556,0.00222,0.008679,0.255127,true
volatility_adjusted_rank_score,excess_fwd_3d_return,test,900,0.048351,-0.012893,0.53,0.049532,0.205746,0.255234,true
volatility_adjusted_rank_score,excess_fwd_5d_return,test,900,0.064554,-0.023444,0.523333,0.068065,0.295755,0.255546,true
market_regime_adjusted_rank_score_review_only,excess_fwd_1d_return,test,900,0.015165,-0.019963,0.515556,0.002052,0.007995,0.255127,true
market_regime_adjusted_rank_score_review_only,excess_fwd_3d_return,test,900,0.049165,-0.012034,0.53,0.050146,0.207507,0.255234,true
market_regime_adjusted_rank_score_review_only,excess_fwd_5d_return,test,900,0.06431,-0.023105,0.523333,0.06767,0.293074,0.255546,true
