report_date,symbol,review_queue_category,review_priority_level,queue_status,review_reason_codes,source_provider,risk_score_bucket,downside_risk_bucket,factor_validity_status,non_actionable_disclaimer
2026-05-21,000157.SZ,clean_research_watch_queue,CLEAN_RESEARCH_WATCH,active_for_report_date,fewer_symbol_level_warnings;global_factor_not_ready,baostock,LOW_RISK_REVIEW_ONLY,MEDIUM_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,000166.SZ,clean_research_watch_queue,CLEAN_RESEARCH_WATCH,active_for_report_date,fewer_symbol_level_warnings;global_factor_not_ready,baostock,MEDIUM_RISK_REVIEW_ONLY,MEDIUM_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,000568.SZ,clean_research_watch_queue,CLEAN_RESEARCH_WATCH,active_for_report_date,fewer_symbol_level_warnings;global_factor_not_ready,baostock,LOW_RISK_REVIEW_ONLY,MEDIUM_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,000651.SZ,clean_research_watch_queue,CLEAN_RESEARCH_WATCH,active_for_report_date,fewer_symbol_level_warnings;global_factor_not_ready,baostock,LOW_RISK_REVIEW_ONLY,LOW_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,000776.SZ,clean_research_watch_queue,CLEAN_RESEARCH_WATCH,active_for_report_date,fewer_symbol_level_warnings;global_factor_not_ready,baostock,MEDIUM_RISK_REVIEW_ONLY,MEDIUM_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,002236.SZ,clean_research_watch_queue,CLEAN_RESEARCH_WATCH,active_for_report_date,fewer_symbol_level_warnings;global_factor_not_ready,baostock,LOW_RISK_REVIEW_ONLY,LOW_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,002241.SZ,clean_research_watch_queue,CLEAN_RESEARCH_WATCH,active_for_report_date,fewer_symbol_level_warnings;global_factor_not_ready,baostock,LOW_RISK_REVIEW_ONLY,LOW_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,002415.SZ,clean_research_watch_queue,CLEAN_RESEARCH_WATCH,active_for_report_date,fewer_symbol_level_warnings;global_factor_not_ready,baostock,MEDIUM_RISK_REVIEW_ONLY,MEDIUM_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,002594.SZ,clean_research_watch_queue,CLEAN_RESEARCH_WATCH,active_for_report_date,fewer_symbol_level_warnings;global_factor_not_ready,baostock,MEDIUM_RISK_REVIEW_ONLY,MEDIUM_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,002714.SZ,clean_research_watch_queue,CLEAN_RESEARCH_WATCH,active_for_report_date,fewer_symbol_level_warnings;global_factor_not_ready,baostock,MEDIUM_RISK_REVIEW_ONLY,MEDIUM_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,300059.SZ,clean_research_watch_queue,CLEAN_RESEARCH_WATCH,active_for_report_date,fewer_symbol_level_warnings;global_factor_not_ready,baostock,LOW_RISK_REVIEW_ONLY,LOW_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,,data_quality_review_queue,NO_RESEARCH_ACTION,empty_for_report_date,no_symbols_in_queue_for_report_date,,,,,research_only_not_investment_advice_not_trade_instruction
2026-05-21,000001.SZ,factor_not_ready_review_queue,FACTOR_RESEARCH_REVIEW,active_for_report_date,global_factor_not_ready,baostock,LOW_RISK_REVIEW_ONLY,LOW_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,000002.SZ,factor_not_ready_review_queue,FACTOR_RESEARCH_REVIEW,active_for_report_date,global_factor_not_ready,baostock,MEDIUM_RISK_REVIEW_ONLY,HIGH_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,000063.SZ,factor_not_ready_review_queue,FACTOR_RESEARCH_REVIEW,active_for_report_date,global_factor_not_ready,baostock,MEDIUM_RISK_REVIEW_ONLY,MEDIUM_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,000100.SZ,factor_not_ready_review_queue,FACTOR_RESEARCH_REVIEW,active_for_report_date,global_factor_not_ready,baostock,LOW_RISK_REVIEW_ONLY,LOW_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,000157.SZ,factor_not_ready_review_queue,FACTOR_RESEARCH_REVIEW,active_for_report_date,global_factor_not_ready,baostock,LOW_RISK_REVIEW_ONLY,MEDIUM_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,000166.SZ,factor_not_ready_review_queue,FACTOR_RESEARCH_REVIEW,active_for_report_date,global_factor_not_ready,baostock,MEDIUM_RISK_REVIEW_ONLY,MEDIUM_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,000333.SZ,factor_not_ready_review_queue,FACTOR_RESEARCH_REVIEW,active_for_report_date,global_factor_not_ready,baostock,LOW_RISK_REVIEW_ONLY,LOW_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,000338.SZ,factor_not_ready_review_queue,FACTOR_RESEARCH_REVIEW,active_for_report_date,global_factor_not_ready,baostock,MEDIUM_RISK_REVIEW_ONLY,MEDIUM_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,000425.SZ,factor_not_ready_review_queue,FACTOR_RESEARCH_REVIEW,active_for_report_date,global_factor_not_ready,baostock,MEDIUM_RISK_REVIEW_ONLY,MEDIUM_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
2026-05-21,000538.SZ,factor_not_ready_review_queue,FACTOR_RESEARCH_REVIEW,active_for_report_date,global_factor_not_ready,baostock,LOW_RISK_REVIEW_ONLY,MEDIUM_DOWNSIDE_RISK_REVIEW_ONLY,no_factor_currently_approved_for_recommendation_tiering,research_only_not_investment_advice_not_trade_instruction
