trade_date,symbol,source_goal,source_goal08b_mode,source_goal07b_mode,recommendation_diagnostic_label,recommendation_actionability_status,recommendation_actionability_blocked,risk_severity,risk_state,risk_warning_codes,propagated_warning_codes,position_band_diagnostic_label,position_band_status,position_actionability_status,position_actionability_blocked,blocked_reason_codes,contract_version,diagnostic_mode,deterministic_rule_trace,non_actionable_disclaimer
2024-06-17,000001.SZ,GOAL-08B,review_only,review_only,blocked_high_risk,never_actionable,true,HIGH,model_warning,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,blocked_high_risk,diagnostic_blocked_no_position_instruction,never_actionable,true,calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,goal09_review_only_position_band_diagnostics_v1,review_only,source_goal=GOAL-08B;source_mode=review_only;source_goal07b_mode=review_only;risk_severity=HIGH;recommendation_actionability_status=never_actionable;position_band_diagnostic_label=blocked_high_risk;blocked_reason_codes=calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,diagnostic_only_not_investment_advice_not_position_instruction_not_trade_instruction
2024-06-18,000001.SZ,GOAL-08B,review_only,review_only,blocked_high_risk,never_actionable,true,HIGH,model_warning,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,blocked_high_risk,diagnostic_blocked_no_position_instruction,never_actionable,true,calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,goal09_review_only_position_band_diagnostics_v1,review_only,source_goal=GOAL-08B;source_mode=review_only;source_goal07b_mode=review_only;risk_severity=HIGH;recommendation_actionability_status=never_actionable;position_band_diagnostic_label=blocked_high_risk;blocked_reason_codes=calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,diagnostic_only_not_investment_advice_not_position_instruction_not_trade_instruction
2024-06-19,000001.SZ,GOAL-08B,review_only,review_only,blocked_high_risk,never_actionable,true,HIGH,model_warning,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,blocked_high_risk,diagnostic_blocked_no_position_instruction,never_actionable,true,calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,goal09_review_only_position_band_diagnostics_v1,review_only,source_goal=GOAL-08B;source_mode=review_only;source_goal07b_mode=review_only;risk_severity=HIGH;recommendation_actionability_status=never_actionable;position_band_diagnostic_label=blocked_high_risk;blocked_reason_codes=calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,diagnostic_only_not_investment_advice_not_position_instruction_not_trade_instruction
2024-06-20,000001.SZ,GOAL-08B,review_only,review_only,blocked_high_risk,never_actionable,true,HIGH,model_warning,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,blocked_high_risk,diagnostic_blocked_no_position_instruction,never_actionable,true,calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,goal09_review_only_position_band_diagnostics_v1,review_only,source_goal=GOAL-08B;source_mode=review_only;source_goal07b_mode=review_only;risk_severity=HIGH;recommendation_actionability_status=never_actionable;position_band_diagnostic_label=blocked_high_risk;blocked_reason_codes=calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,diagnostic_only_not_investment_advice_not_position_instruction_not_trade_instruction
2024-06-21,000001.SZ,GOAL-08B,review_only,review_only,blocked_high_risk,never_actionable,true,HIGH,model_warning,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,blocked_high_risk,diagnostic_blocked_no_position_instruction,never_actionable,true,calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,goal09_review_only_position_band_diagnostics_v1,review_only,source_goal=GOAL-08B;source_mode=review_only;source_goal07b_mode=review_only;risk_severity=HIGH;recommendation_actionability_status=never_actionable;position_band_diagnostic_label=blocked_high_risk;blocked_reason_codes=calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,diagnostic_only_not_investment_advice_not_position_instruction_not_trade_instruction
2024-06-24,000001.SZ,GOAL-08B,review_only,review_only,blocked_high_risk,never_actionable,true,HIGH,model_warning,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,blocked_high_risk,diagnostic_blocked_no_position_instruction,never_actionable,true,calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,goal09_review_only_position_band_diagnostics_v1,review_only,source_goal=GOAL-08B;source_mode=review_only;source_goal07b_mode=review_only;risk_severity=HIGH;recommendation_actionability_status=never_actionable;position_band_diagnostic_label=blocked_high_risk;blocked_reason_codes=calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,diagnostic_only_not_investment_advice_not_position_instruction_not_trade_instruction
2024-06-25,000001.SZ,GOAL-08B,review_only,review_only,blocked_high_risk,never_actionable,true,HIGH,model_warning,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,blocked_high_risk,diagnostic_blocked_no_position_instruction,never_actionable,true,calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,goal09_review_only_position_band_diagnostics_v1,review_only,source_goal=GOAL-08B;source_mode=review_only;source_goal07b_mode=review_only;risk_severity=HIGH;recommendation_actionability_status=never_actionable;position_band_diagnostic_label=blocked_high_risk;blocked_reason_codes=calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,diagnostic_only_not_investment_advice_not_position_instruction_not_trade_instruction
2024-06-26,000001.SZ,GOAL-08B,review_only,review_only,blocked_high_risk,never_actionable,true,HIGH,model_warning,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,blocked_high_risk,diagnostic_blocked_no_position_instruction,never_actionable,true,calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,goal09_review_only_position_band_diagnostics_v1,review_only,source_goal=GOAL-08B;source_mode=review_only;source_goal07b_mode=review_only;risk_severity=HIGH;recommendation_actionability_status=never_actionable;position_band_diagnostic_label=blocked_high_risk;blocked_reason_codes=calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,diagnostic_only_not_investment_advice_not_position_instruction_not_trade_instruction
2024-06-27,000001.SZ,GOAL-08B,review_only,review_only,blocked_high_risk,never_actionable,true,HIGH,model_warning,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,blocked_high_risk,diagnostic_blocked_no_position_instruction,never_actionable,true,calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,goal09_review_only_position_band_diagnostics_v1,review_only,source_goal=GOAL-08B;source_mode=review_only;source_goal07b_mode=review_only;risk_severity=HIGH;recommendation_actionability_status=never_actionable;position_band_diagnostic_label=blocked_high_risk;blocked_reason_codes=calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,diagnostic_only_not_investment_advice_not_position_instruction_not_trade_instruction
2024-06-28,000001.SZ,GOAL-08B,review_only,review_only,blocked_high_risk,never_actionable,true,HIGH,model_warning,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,blocked_high_risk,diagnostic_blocked_no_position_instruction,never_actionable,true,calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,goal09_review_only_position_band_diagnostics_v1,review_only,source_goal=GOAL-08B;source_mode=review_only;source_goal07b_mode=review_only;risk_severity=HIGH;recommendation_actionability_status=never_actionable;position_band_diagnostic_label=blocked_high_risk;blocked_reason_codes=calibration_warning_blocks_position_band;future_position_diagnostics_non_actionable_policy;high_risk_severity_blocks_position_band;inherited_recommendation_never_actionable;provider_concentration_warning_disclosed;review_only_non_actionable_policy;weak_rank_signal_blocks_position_band,diagnostic_only_not_investment_advice_not_position_instruction_not_trade_instruction
