failure_code,retry_allowed,partial_acceptance_allowed,safe_action
NETWORK_GATE_DISABLED,false,false,stop_and_record_metadata_only
SYMBOL_SCOPE_NOT_EXACT_100,false,false,stop_and_record_metadata_only
PROVIDER_COUNT_BELOW_TWO,false,false,stop_and_record_metadata_only
UNVERIFIED_PROVIDER_SCHEMA,false,false,stop_and_record_metadata_only
FREE_FLOAT_SOURCE_UNAVAILABLE,false,false,stop_and_record_metadata_only
REQUIRED_FIELD_MISSING,false,false,stop_and_record_metadata_only
INVALID_NUMERIC_DOMAIN,false,false,stop_and_record_metadata_only
INVALID_TRADE_STATUS,false,false,stop_and_record_metadata_only
PIT_TIMESTAMP_INVALID,false,false,stop_and_record_metadata_only
ADJUSTMENT_NOT_QFQ,false,false,stop_and_record_metadata_only
DUPLICATE_PRIMARY_KEY,false,false,stop_and_record_metadata_only
PARTIAL_BATCH,false,false,stop_and_record_metadata_only
PROVIDER_DISCREPANCY,false,false,stop_and_record_metadata_only
