provider_id,function_name,symbol,date_start,date_end,attempt_ts,network_enabled,status,failure_class,http_status_if_available,response_type_if_available,rows_returned,schema_valid,retry_allowed,fallback_provider,notes,request_sequence,batch_request_sequence,market_exchange,endpoint_family,elapsed_seconds,response_byte_length_if_available,latest_returned_trade_date,exception_type,terminal_exception_message,retry_count,accepted,rejection_reason,upstream_source,akshare_version,request_parameters,network_context
akshare,stock_zh_a_hist,000002.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:32.064+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,1,1,SZ,push2his.eastmoney.com,0.725561,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""000002""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
akshare,stock_zh_a_hist,000063.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:32.999+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,2,2,SZ,push2his.eastmoney.com,0.150131,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""000063""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
akshare,stock_zh_a_hist,000100.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:33.359+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,3,3,SZ,push2his.eastmoney.com,0.161035,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""000100""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
akshare,stock_zh_a_hist,000157.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:33.730+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,4,4,SZ,push2his.eastmoney.com,0.17217,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""000157""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
akshare,stock_zh_a_hist,000166.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:34.103+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,5,5,SZ,push2his.eastmoney.com,0.153568,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""000166""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
akshare,stock_zh_a_hist,000333.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:34.464+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,6,6,SZ,push2his.eastmoney.com,0.160426,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""000333""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
akshare,stock_zh_a_hist,000338.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:34.834+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,7,7,SZ,push2his.eastmoney.com,0.149987,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""000338""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
akshare,stock_zh_a_hist,000425.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:35.192+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,8,8,SZ,push2his.eastmoney.com,0.155144,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""000425""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
akshare,stock_zh_a_hist,000568.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:35.557+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,9,9,SZ,push2his.eastmoney.com,0.142241,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""000568""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
akshare,stock_zh_a_hist,000596.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:35.908+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,10,10,SZ,push2his.eastmoney.com,0.152349,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""000596""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
