trade_date,symbol,canonical_close,canonical_return_1d,source_provider,provider_overlap_status,canonical_price_status,canonical_return_status,adjustment_convention_status,raw_adjusted_semantics,timestamp_alignment_status,provider_timestamp,pit_available_date,suspension_status,corporate_action_discontinuity_flag,risk_model_eligible,quarantine_reason,no_lookahead_status,research_only,not_trading_advice,not_for_execution
2026-07-15,000002.SZ,3.13,0.0574324324,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,false,true,,passed_current_or_past_only,true,true,true
2026-07-15,000063.SZ,39.45,0.0900801326,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,false,true,,passed_current_or_past_only,true,true,true
2026-07-15,000100.SZ,5.02,-0.1374570447,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,true,true,,passed_current_or_past_only,true,true,true
2026-07-15,000157.SZ,7.36,0.055954089,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,false,true,,passed_current_or_past_only,true,true,true
2026-07-15,000166.SZ,4.66,0.0590909091,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,false,true,,passed_current_or_past_only,true,true,true
2026-07-15,000333.SZ,82.67,0.0945319741,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,false,true,,passed_current_or_past_only,true,true,true
2026-07-15,000338.SZ,26.45,-0.0293577982,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,false,true,,passed_current_or_past_only,true,true,true
2026-07-15,000425.SZ,8.39,0.0620253165,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,false,true,,passed_current_or_past_only,true,true,true
2026-07-15,000568.SZ,83.12,0.0722394221,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,false,true,,passed_current_or_past_only,true,true,true
2026-07-15,000596.SZ,88.53,0.1093984962,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,true,true,,passed_current_or_past_only,true,true,true
2026-07-15,000651.SZ,39.83,0.0621333333,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,false,true,,passed_current_or_past_only,true,true,true
2026-07-15,000725.SZ,6.38,-0.2649769585,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,true,true,,passed_current_or_past_only,true,true,true
2026-07-15,000786.SZ,17.75,-0.0187949143,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,false,true,,passed_current_or_past_only,true,true,true
2026-07-15,000895.SZ,24.1,0.0758928571,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,false,true,,passed_current_or_past_only,true,true,true
2026-07-15,000938.SZ,35.53,0.2311157311,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,true,true,,passed_current_or_past_only,true,true,true
2026-07-15,000963.SZ,31.43,0.1177098151,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,true,true,,passed_current_or_past_only,true,true,true
2026-07-15,001979.SZ,6.67,0.0373250389,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,false,true,,passed_current_or_past_only,true,true,true
2026-07-15,002236.SZ,16.57,0.0048514251,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,false,true,,passed_current_or_past_only,true,true,true
2026-07-15,002241.SZ,22.25,-0.0124278739,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,false,true,,passed_current_or_past_only,true,true,true
2026-07-15,002311.SZ,46.51,0.0425913472,akshare,single_approved_provider_no_overlap_evidence,accepted,accepted,qfq_governed_single_upstream,qfq_adjusted_single_upstream;eastmoney_tencent_qfq_production_v2,date_level_only_no_intraday_timestamp,2026-07-15,2026-07-15,trading,false,true,,passed_current_or_past_only,true,true,true
