factor_id,warning_code,warning_severity,warning_detail,non_actionable_disclaimer
alpha_benchmark_relative_strength_20d,initial_window_missing_values,research_warning,1000_rows_missing_due_to_required_trailing_history,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_benchmark_relative_strength_5d,initial_window_missing_values,research_warning,250_rows_missing_due_to_required_trailing_history,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_downside_vol_adjusted_strength_20d,initial_window_missing_values,research_warning,1000_rows_missing_due_to_required_trailing_history,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_intraday_recovery_pressure,initial_window_missing_values,research_warning,11_rows_missing_due_to_required_trailing_history,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_intraday_weakness_pressure,initial_window_missing_values,research_warning,11_rows_missing_due_to_required_trailing_history,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_liquidity_pressure_5d,initial_window_missing_values,research_warning,260_rows_missing_due_to_required_trailing_history,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_price_volume_confirmation_5d,initial_window_missing_values,research_warning,260_rows_missing_due_to_required_trailing_history,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_risk_adjusted_relative_strength,initial_window_missing_values,research_warning,1000_rows_missing_due_to_required_trailing_history,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_short_reversal_5d,initial_window_missing_values,research_warning,250_rows_missing_due_to_required_trailing_history,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_turnover_pressure_20d,initial_window_missing_values,research_warning,1010_rows_missing_due_to_required_trailing_history,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_vol_adj_momentum_20d,initial_window_missing_values,research_warning,1000_rows_missing_due_to_required_trailing_history,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_vol_adj_momentum_5d,initial_window_missing_values,research_warning,256_rows_missing_due_to_required_trailing_history,research_only_factor_candidate_not_investment_advice_not_trade_instruction
