refined_factor_id,warning_code,warning_severity,warning_detail,non_actionable_disclaimer
alpha_benchmark_relative_strength_20d__downside_risk_filtered,source_factor_value_missing,research_warning,missing_or_filtered_rows=1232,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_benchmark_relative_strength_20d__horizon_specific,source_factor_value_missing,research_warning,missing_or_filtered_rows=1000,research_only
alpha_benchmark_relative_strength_20d__horizon_specific,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered,source_factor_value_missing,research_warning,missing_or_filtered_rows=2100,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned,source_factor_value_missing,research_warning,missing_or_filtered_rows=4700,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned,retained_rows_below_threshold,research_warning,retained_share=0.2166666667,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned,construction_completed_with_sparse_exposure,research_warning,constructed_with_retained_share=0.2166666667,research_only
alpha_benchmark_relative_strength_20d__risk_filtered,source_factor_value_missing,research_warning,missing_or_filtered_rows=1265,research_only
alpha_benchmark_relative_strength_20d__risk_filtered,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,source_factor_value_missing,research_warning,missing_or_filtered_rows=1232,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
alpha_downside_vol_adjusted_strength_20d__horizon_specific,source_factor_value_missing,research_warning,missing_or_filtered_rows=1000,research_only
alpha_downside_vol_adjusted_strength_20d__horizon_specific,initial_trailing_window_missing,research_warning,some source alpha rows are blank because original trailing windows were unavailable or filtered,research_only
