factor_id,factor_family,slice_dimension,slice_value,row_count,unique_symbols,unique_trade_dates,mean_rank_ic_20d,mean_top_bottom_excess_spread_20d,aligned_window_count,inverse_window_count,stability_classification,slicing_group_source,no_lookahead_policy,not_evaluated_status
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,risk_score_bucket,HIGH_RISK_REVIEW_ONLY,278,28,101,0.0633928571,0.0129024914,41,29,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,risk_score_bucket,INSUFFICIENT_EVIDENCE_REVIEW_ONLY,10,1,10,,,0,0,condition_not_evaluable_sparse_slice,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,risk_score_bucket,LOW_RISK_REVIEW_ONLY,2891,48,120,0.0630962228,0.0191968961,63,32,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,risk_score_bucket,MEDIUM_RISK_REVIEW_ONLY,2821,49,120,0.0823734360,0.0224255927,74,26,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,downside_risk_bucket,HIGH_DOWNSIDE_RISK_REVIEW_ONLY,239,41,75,0.0038535649,-0.0000863440,12,35,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,downside_risk_bucket,INSUFFICIENT_DOWNSIDE_EVIDENCE_REVIEW_ONLY,10,1,10,,,0,0,condition_not_evaluable_sparse_slice,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,downside_risk_bucket,LOW_DOWNSIDE_RISK_REVIEW_ONLY,3864,50,120,0.0539479930,0.0257808814,72,23,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,downside_risk_bucket,MEDIUM_DOWNSIDE_RISK_REVIEW_ONLY,1887,49,120,0.0097660289,0.0229181638,63,25,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,mvp_review_queue_category,factor_not_ready_review_queue,1320,11,120,-0.0566363636,-0.0119632400,22,78,conditionally_inverse_or_unstable,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,mvp_review_queue_category,high_downside_risk_review_queue,1560,13,120,0.1542307692,0.0613727906,71,27,conditionally_more_stable_aligned,committed_mvp_and_quant02_diagnostic_groups_current_or_past_only,slicing_groups_exclude_forward_returns_and_labels,proposed_refined_candidate_not_evaluated
