field,rows,missing_or_unavailable,missing_rate,notes
existing_composite_regime_label,6000,0,0.0,populated offline
risk_score_bucket,6000,0,0.0,populated offline
downside_risk_bucket,6000,0,0.0,populated offline
mvp_review_queue_category,6000,0,0.0,populated offline
st_status,6000,0,0.0,populated offline
suspension_status,6000,0,0.0,populated offline
listing_status,6000,0,0.0,populated offline
symbol_flow_available,6000,0,0.0,populated offline
symbol_net_flow,6000,6000,1.0,offline-unavailable field
symbol_liquidity_proxy,6000,10,0.0017,populated offline
stock_connect_holding_available,6000,0,0.0,populated offline
margin_eligible_status,6000,6000,1.0,offline-unavailable field
recent_event_count,6000,0,0.0,populated offline
event_risk_context_available,6000,0,0.0,populated offline
source_coverage_score,6000,0,0.0,populated offline
external_data_quality_score,6000,0,0.0,populated offline
no_lookahead_status,6000,0,0.0,populated offline
data_status,6000,0,0.0,populated offline
non_actionable_disclaimer,6000,0,0.0,populated offline
