candidate_id,factor_family,old_status,new_status,transition_category,failed_criterion_count,failed_criteria,primary_failure_class,holdout_mean_ic_1d,holdout_sign_consistency_1d,aligned_horizon_count,holdout_valid_rows,research_decision
alpha_benchmark_relative_strength_20d__downside_risk_filtered,benchmark_relative_strength,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.027701,0.5915,0,6714,redesign_or_stop_no_promotion
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_cross_sectional_rank,benchmark_relative_strength,conditionally_useful,not_ready,lost_conditional_status,5,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.024634,0.5793,0,6714,redesign_or_stop_no_promotion
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_cross_sectional_zscore,benchmark_relative_strength,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.027701,0.5915,0,6714,redesign_or_stop_no_promotion
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_winsorized_zscore,benchmark_relative_strength,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.025511,0.561,1,6714,redesign_or_stop_no_promotion
alpha_benchmark_relative_strength_20d__horizon_specific,benchmark_relative_strength,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.027701,0.5915,0,6714,redesign_or_stop_no_promotion
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_cross_sectional_rank,benchmark_relative_strength,conditionally_useful,not_ready,lost_conditional_status,5,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.024634,0.5793,0,6714,redesign_or_stop_no_promotion
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_cross_sectional_zscore,benchmark_relative_strength,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.027701,0.5915,0,6714,redesign_or_stop_no_promotion
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_winsorized_zscore,benchmark_relative_strength,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.025511,0.561,1,6714,redesign_or_stop_no_promotion
alpha_benchmark_relative_strength_20d__liquidity_filtered,benchmark_relative_strength,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.027701,0.5915,0,6714,redesign_or_stop_no_promotion
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_cross_sectional_rank,benchmark_relative_strength,conditionally_useful,not_ready,lost_conditional_status,5,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.024634,0.5793,0,6714,redesign_or_stop_no_promotion
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_cross_sectional_zscore,benchmark_relative_strength,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.027701,0.5915,0,6714,redesign_or_stop_no_promotion
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_winsorized_zscore,benchmark_relative_strength,not_ready,not_ready,unchanged_not_ready,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.025511,0.561,1,6714,redesign_or_stop_no_promotion
alpha_benchmark_relative_strength_20d__review_queue_conditioned,benchmark_relative_strength,not_ready,not_ready,unchanged_not_ready,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.027701,0.5915,0,6714,redesign_or_stop_no_promotion
alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_cross_sectional_rank,benchmark_relative_strength,not_ready,not_ready,unchanged_not_ready,5,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.024634,0.5793,0,6714,redesign_or_stop_no_promotion
alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_cross_sectional_zscore,benchmark_relative_strength,not_ready,not_ready,unchanged_not_ready,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.027701,0.5915,0,6714,redesign_or_stop_no_promotion
alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_winsorized_zscore,benchmark_relative_strength,not_ready,not_ready,unchanged_not_ready,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.025511,0.561,1,6714,redesign_or_stop_no_promotion
alpha_benchmark_relative_strength_20d__risk_filtered,benchmark_relative_strength,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.027701,0.5915,0,6714,redesign_or_stop_no_promotion
alpha_benchmark_relative_strength_20d__risk_filtered__readiness_cross_sectional_rank,benchmark_relative_strength,conditionally_useful,not_ready,lost_conditional_status,5,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.024634,0.5793,0,6714,redesign_or_stop_no_promotion
alpha_benchmark_relative_strength_20d__risk_filtered__readiness_cross_sectional_zscore,benchmark_relative_strength,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.027701,0.5915,0,6714,redesign_or_stop_no_promotion
alpha_benchmark_relative_strength_20d__risk_filtered__readiness_winsorized_zscore,benchmark_relative_strength,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.025511,0.561,1,6714,redesign_or_stop_no_promotion
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,downside_volatility_adjusted_signal,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.00663,0.5061,0,4665,redesign_or_stop_no_promotion
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered__readiness_cross_sectional_rank,downside_volatility_adjusted_signal,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.006275,0.5122,0,4665,redesign_or_stop_no_promotion
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered__readiness_cross_sectional_zscore,downside_volatility_adjusted_signal,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.00663,0.5061,0,4665,redesign_or_stop_no_promotion
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered__readiness_winsorized_zscore,downside_volatility_adjusted_signal,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.00535,0.4939,0,4665,redesign_or_stop_no_promotion
alpha_downside_vol_adjusted_strength_20d__horizon_specific,downside_volatility_adjusted_signal,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.00663,0.5061,0,4665,redesign_or_stop_no_promotion
alpha_downside_vol_adjusted_strength_20d__horizon_specific__readiness_cross_sectional_rank,downside_volatility_adjusted_signal,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.006275,0.5122,0,4665,redesign_or_stop_no_promotion
alpha_downside_vol_adjusted_strength_20d__horizon_specific__readiness_cross_sectional_zscore,downside_volatility_adjusted_signal,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.00663,0.5061,0,4665,redesign_or_stop_no_promotion
alpha_downside_vol_adjusted_strength_20d__horizon_specific__readiness_winsorized_zscore,downside_volatility_adjusted_signal,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.00535,0.4939,0,4665,redesign_or_stop_no_promotion
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,downside_volatility_adjusted_signal,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.00663,0.5061,0,4665,redesign_or_stop_no_promotion
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_cross_sectional_rank,downside_volatility_adjusted_signal,not_ready,not_ready,unchanged_not_ready,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.006275,0.5122,0,4665,redesign_or_stop_no_promotion
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_cross_sectional_zscore,downside_volatility_adjusted_signal,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.00663,0.5061,0,4665,redesign_or_stop_no_promotion
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_winsorized_zscore,downside_volatility_adjusted_signal,not_ready,not_ready,unchanged_not_ready,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.00535,0.4939,0,4665,redesign_or_stop_no_promotion
