candidate_id,old_to_new_sign_reversal,specification_sensitivity,transform_dependence,horizon_dependence,regime_dependence,provider_dependence,sample_period_dependence,holdout_fragility,multiple_testing_risk,candidate_family_multiplicity,small_sample_pockets,promotion_guard
alpha_benchmark_relative_strength_20d__downside_risk_filtered,false,checked_fixed_transforms_no_search,identity,single_horizon_only,extended_index_regime_review_only,pass_with_discrepancy_warnings,old_120_dates_vs_new_843_dates_compared,adequate,120_candidates_times_3_horizons,120,present_for_failed_symbol_and_sparse_regime_slices,no_promotion_without_base_precondition_oos_walk_forward_provider_review
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_cross_sectional_zscore,false,checked_fixed_transforms_no_search,cross_sectional_zscore,single_horizon_only,extended_index_regime_review_only,pass_with_discrepancy_warnings,old_120_dates_vs_new_843_dates_compared,adequate,120_candidates_times_3_horizons,120,present_for_failed_symbol_and_sparse_regime_slices,no_promotion_without_base_precondition_oos_walk_forward_provider_review
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_cross_sectional_rank,false,checked_fixed_transforms_no_search,cross_sectional_rank,single_horizon_only,extended_index_regime_review_only,pass_with_discrepancy_warnings,old_120_dates_vs_new_843_dates_compared,adequate,120_candidates_times_3_horizons,120,present_for_failed_symbol_and_sparse_regime_slices,no_promotion_without_base_precondition_oos_walk_forward_provider_review
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_winsorized_zscore,false,checked_fixed_transforms_no_search,winsorized_zscore,single_horizon_only,extended_index_regime_review_only,pass_with_discrepancy_warnings,old_120_dates_vs_new_843_dates_compared,adequate,120_candidates_times_3_horizons,120,present_for_failed_symbol_and_sparse_regime_slices,no_promotion_without_base_precondition_oos_walk_forward_provider_review
alpha_benchmark_relative_strength_20d__horizon_specific,false,checked_fixed_transforms_no_search,identity,single_horizon_only,extended_index_regime_review_only,pass_with_discrepancy_warnings,old_120_dates_vs_new_843_dates_compared,adequate,120_candidates_times_3_horizons,120,present_for_failed_symbol_and_sparse_regime_slices,no_promotion_without_base_precondition_oos_walk_forward_provider_review
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_cross_sectional_zscore,false,checked_fixed_transforms_no_search,cross_sectional_zscore,single_horizon_only,extended_index_regime_review_only,pass_with_discrepancy_warnings,old_120_dates_vs_new_843_dates_compared,adequate,120_candidates_times_3_horizons,120,present_for_failed_symbol_and_sparse_regime_slices,no_promotion_without_base_precondition_oos_walk_forward_provider_review
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_cross_sectional_rank,false,checked_fixed_transforms_no_search,cross_sectional_rank,single_horizon_only,extended_index_regime_review_only,pass_with_discrepancy_warnings,old_120_dates_vs_new_843_dates_compared,adequate,120_candidates_times_3_horizons,120,present_for_failed_symbol_and_sparse_regime_slices,no_promotion_without_base_precondition_oos_walk_forward_provider_review
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_winsorized_zscore,false,checked_fixed_transforms_no_search,winsorized_zscore,single_horizon_only,extended_index_regime_review_only,pass_with_discrepancy_warnings,old_120_dates_vs_new_843_dates_compared,adequate,120_candidates_times_3_horizons,120,present_for_failed_symbol_and_sparse_regime_slices,no_promotion_without_base_precondition_oos_walk_forward_provider_review
alpha_benchmark_relative_strength_20d__liquidity_filtered,false,checked_fixed_transforms_no_search,identity,single_horizon_only,extended_index_regime_review_only,pass_with_discrepancy_warnings,old_120_dates_vs_new_843_dates_compared,adequate,120_candidates_times_3_horizons,120,present_for_failed_symbol_and_sparse_regime_slices,no_promotion_without_base_precondition_oos_walk_forward_provider_review
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_cross_sectional_zscore,false,checked_fixed_transforms_no_search,cross_sectional_zscore,single_horizon_only,extended_index_regime_review_only,pass_with_discrepancy_warnings,old_120_dates_vs_new_843_dates_compared,adequate,120_candidates_times_3_horizons,120,present_for_failed_symbol_and_sparse_regime_slices,no_promotion_without_base_precondition_oos_walk_forward_provider_review
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_cross_sectional_rank,false,checked_fixed_transforms_no_search,cross_sectional_rank,single_horizon_only,extended_index_regime_review_only,pass_with_discrepancy_warnings,old_120_dates_vs_new_843_dates_compared,adequate,120_candidates_times_3_horizons,120,present_for_failed_symbol_and_sparse_regime_slices,no_promotion_without_base_precondition_oos_walk_forward_provider_review
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_winsorized_zscore,false,checked_fixed_transforms_no_search,winsorized_zscore,single_horizon_only,extended_index_regime_review_only,pass_with_discrepancy_warnings,old_120_dates_vs_new_843_dates_compared,adequate,120_candidates_times_3_horizons,120,present_for_failed_symbol_and_sparse_regime_slices,no_promotion_without_base_precondition_oos_walk_forward_provider_review
alpha_benchmark_relative_strength_20d__review_queue_conditioned,false,checked_fixed_transforms_no_search,identity,single_horizon_only,extended_index_regime_review_only,pass_with_discrepancy_warnings,old_120_dates_vs_new_843_dates_compared,adequate,120_candidates_times_3_horizons,120,present_for_failed_symbol_and_sparse_regime_slices,no_promotion_without_base_precondition_oos_walk_forward_provider_review
