candidate_id,base_refined_factor_id,old_status,new_status,old_ic_1d,new_ic_1d,old_rank_ic_1d,new_rank_ic_1d,old_sign_stability,new_sign_stability,old_regime_consistency,new_regime_consistency,old_sample_size,new_sample_size,oos_change,transition_category,readiness_transition_reason
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d__downside_risk_filtered,conditionally_useful,not_ready,0.085708,0.027701,0.0154293005,0.010026,0.65,0.5915,regime_specific_review_only,extended_index_regime_diagnostics_applied,951,6714,-0.058007,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__downside_risk_filtered,conditionally_useful,not_ready,0.085708,0.027701,0.0154293005,0.010026,0.65,0.5915,regime_specific_review_only,extended_index_regime_diagnostics_applied,951,6714,-0.058007,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__downside_risk_filtered,conditionally_useful,not_ready,0.090623,0.024634,0.0154293005,0.010026,0.7,0.5793,regime_specific_review_only,extended_index_regime_diagnostics_applied,951,6714,-0.065989,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__downside_risk_filtered,conditionally_useful,not_ready,0.091161,0.025511,0.0154293005,0.01001,0.65,0.561,regime_specific_review_only,extended_index_regime_diagnostics_applied,951,6714,-0.06565,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d__horizon_specific,conditionally_useful,not_ready,0.064811,0.027701,-0.0003211248,0.010026,0.65,0.5915,regime_specific_review_only,extended_index_regime_diagnostics_applied,1000,6714,-0.03711,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__horizon_specific,conditionally_useful,not_ready,0.064811,0.027701,-0.0003211248,0.010026,0.65,0.5915,regime_specific_review_only,extended_index_regime_diagnostics_applied,1000,6714,-0.03711,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__horizon_specific,conditionally_useful,not_ready,0.067336,0.024634,-0.0003211248,0.010026,0.65,0.5793,regime_specific_review_only,extended_index_regime_diagnostics_applied,1000,6714,-0.042702,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__horizon_specific,conditionally_useful,not_ready,0.069696,0.025511,-0.0003211248,0.01001,0.65,0.561,regime_specific_review_only,extended_index_regime_diagnostics_applied,1000,6714,-0.044185,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d__liquidity_filtered,conditionally_useful,not_ready,0.051812,0.027701,-0.0168046972,0.010026,0.7,0.5915,regime_specific_review_only,extended_index_regime_diagnostics_applied,780,6714,-0.024111,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__liquidity_filtered,conditionally_useful,not_ready,0.051812,0.027701,-0.0168046972,0.010026,0.7,0.5915,regime_specific_review_only,extended_index_regime_diagnostics_applied,780,6714,-0.024111,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__liquidity_filtered,conditionally_useful,not_ready,0.057827,0.024634,-0.0168046972,0.010026,0.6,0.5793,regime_specific_review_only,extended_index_regime_diagnostics_applied,780,6714,-0.033193,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
