warning_code,candidate_id,detail
WALK_FORWARD_UNSTABLE,alpha_benchmark_relative_strength_20d__horizon_specific,cross-fold sign consistency 0.5 over 2 folds
WALK_FORWARD_UNSTABLE,alpha_benchmark_relative_strength_20d__horizon_specific__readiness_cross_sectional_zscore,cross-fold sign consistency 0.5 over 2 folds
WALK_FORWARD_UNSTABLE,alpha_benchmark_relative_strength_20d__liquidity_filtered,cross-fold sign consistency 0.5 over 2 folds
WALK_FORWARD_UNSTABLE,alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_cross_sectional_zscore,cross-fold sign consistency 0.5 over 2 folds
HOLDOUT_SIGN_UNSTABLE_1D,alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_winsorized_zscore,holdout sign consistency 0.55 < 0.6
HOLDOUT_SAMPLE_INSUFFICIENT,alpha_benchmark_relative_strength_20d__review_queue_conditioned,holdout valid rows 260 < 500
HOLDOUT_SIGN_UNSTABLE_1D,alpha_benchmark_relative_strength_20d__review_queue_conditioned,holdout sign consistency 0.55 < 0.6
HOLDOUT_SAMPLE_INSUFFICIENT,alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_cross_sectional_zscore,holdout valid rows 260 < 500
HOLDOUT_SIGN_UNSTABLE_1D,alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_cross_sectional_zscore,holdout sign consistency 0.55 < 0.6
HOLDOUT_SAMPLE_INSUFFICIENT,alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_cross_sectional_rank,holdout valid rows 260 < 500
HOLDOUT_SIGN_UNSTABLE_1D,alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_cross_sectional_rank,holdout sign consistency 0.55 < 0.6
HOLDOUT_SAMPLE_INSUFFICIENT,alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_winsorized_zscore,holdout valid rows 260 < 500
HOLDOUT_SIGN_UNSTABLE_1D,alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_winsorized_zscore,holdout sign consistency 0.55 < 0.6
WALK_FORWARD_UNSTABLE,alpha_benchmark_relative_strength_20d__risk_filtered,cross-fold sign consistency 0.5 over 2 folds
WALK_FORWARD_UNSTABLE,alpha_benchmark_relative_strength_20d__risk_filtered__readiness_cross_sectional_zscore,cross-fold sign consistency 0.5 over 2 folds
WALK_FORWARD_UNSTABLE,alpha_benchmark_relative_strength_20d__risk_filtered__readiness_cross_sectional_rank,cross-fold sign consistency 0.5 over 2 folds
WALK_FORWARD_UNSTABLE,alpha_benchmark_relative_strength_20d__risk_filtered__readiness_winsorized_zscore,cross-fold sign consistency 0.5 over 2 folds
HOLDOUT_SIGN_UNSTABLE_1D,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_cross_sectional_rank,holdout sign consistency 0.5 < 0.6
HOLDOUT_SIGN_UNSTABLE_1D,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_winsorized_zscore,holdout sign consistency 0.5 < 0.6
HOLDOUT_SAMPLE_INSUFFICIENT,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,holdout valid rows 260 < 500
HOLDOUT_SAMPLE_INSUFFICIENT,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned__readiness_cross_sectional_zscore,holdout valid rows 260 < 500
HOLDOUT_SAMPLE_INSUFFICIENT,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned__readiness_cross_sectional_rank,holdout valid rows 260 < 500
HOLDOUT_SAMPLE_INSUFFICIENT,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned__readiness_winsorized_zscore,holdout valid rows 260 < 500
WALK_FORWARD_UNSTABLE,alpha_downside_vol_adjusted_strength_20d__risk_filtered,cross-fold sign consistency 0.5 over 2 folds
WALK_FORWARD_UNSTABLE,alpha_downside_vol_adjusted_strength_20d__risk_filtered__readiness_cross_sectional_zscore,cross-fold sign consistency 0.5 over 2 folds
WEAK_HOLDOUT_IC_1D,alpha_price_volume_confirmation_5d__downside_risk_filtered,|holdout mean IC 1d| 0.017993 < STRONG_IC_THRESHOLD 0.03
WALK_FORWARD_UNSTABLE,alpha_price_volume_confirmation_5d__downside_risk_filtered,cross-fold sign consistency 0.5 over 2 folds
WEAK_HOLDOUT_IC_1D,alpha_price_volume_confirmation_5d__downside_risk_filtered__readiness_cross_sectional_zscore,|holdout mean IC 1d| 0.017993 < STRONG_IC_THRESHOLD 0.03
