candidate_id,base_refined_factor_id,factor_family,refinement_transform,is_original,readiness_status,holdout_mean_ic_1d,holdout_sign_consistency_1d,aligned_horizon_count,holdout_valid_rows,walk_forward_sign_consistency,base_precondition_pass,non_actionable_disclaimer
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d__downside_risk_filtered,benchmark_relative_strength,identity,true,conditionally_useful,0.085708,0.65,3,951,1.0,false,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__downside_risk_filtered,benchmark_relative_strength,cross_sectional_zscore,false,conditionally_useful,0.085708,0.65,3,951,1.0,false,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__downside_risk_filtered,benchmark_relative_strength,cross_sectional_rank,false,conditionally_useful,0.090623,0.7,3,951,1.0,false,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__downside_risk_filtered,benchmark_relative_strength,winsorized_zscore,false,conditionally_useful,0.091161,0.65,3,951,1.0,false,research_only
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d__horizon_specific,benchmark_relative_strength,identity,true,conditionally_useful,0.064811,0.65,3,1000,0.5,false,research_only
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__horizon_specific,benchmark_relative_strength,cross_sectional_zscore,false,conditionally_useful,0.064811,0.65,3,1000,0.5,false,research_only
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__horizon_specific,benchmark_relative_strength,cross_sectional_rank,false,conditionally_useful,0.067336,0.65,3,1000,1.0,false,research_only
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__horizon_specific,benchmark_relative_strength,winsorized_zscore,false,conditionally_useful,0.069696,0.65,3,1000,1.0,false,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d__liquidity_filtered,benchmark_relative_strength,identity,true,conditionally_useful,0.051812,0.7,3,780,0.5,false,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__liquidity_filtered,benchmark_relative_strength,cross_sectional_zscore,false,conditionally_useful,0.051812,0.7,3,780,0.5,false,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__liquidity_filtered,benchmark_relative_strength,cross_sectional_rank,false,conditionally_useful,0.057827,0.6,3,780,1.0,false,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__liquidity_filtered,benchmark_relative_strength,winsorized_zscore,false,not_ready,0.056319,0.55,2,780,1.0,false,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d__review_queue_conditioned,benchmark_relative_strength,identity,true,not_ready,0.043085,0.55,2,260,1.0,false,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__review_queue_conditioned,benchmark_relative_strength,cross_sectional_zscore,false,not_ready,0.043085,0.55,2,260,1.0,false,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__review_queue_conditioned,benchmark_relative_strength,cross_sectional_rank,false,not_ready,0.049573,0.55,2,260,1.0,false,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__review_queue_conditioned,benchmark_relative_strength,winsorized_zscore,false,not_ready,0.054257,0.55,2,260,1.0,false,research_only
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d__risk_filtered,benchmark_relative_strength,identity,true,conditionally_useful,0.087942,0.65,3,910,0.5,false,research_only
alpha_benchmark_relative_strength_20d__risk_filtered__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__risk_filtered,benchmark_relative_strength,cross_sectional_zscore,false,conditionally_useful,0.087942,0.65,3,910,0.5,false,research_only
alpha_benchmark_relative_strength_20d__risk_filtered__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__risk_filtered,benchmark_relative_strength,cross_sectional_rank,false,conditionally_useful,0.079786,0.7,3,910,0.5,false,research_only
alpha_benchmark_relative_strength_20d__risk_filtered__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__risk_filtered,benchmark_relative_strength,winsorized_zscore,false,conditionally_useful,0.08447,0.65,3,910,0.5,false,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,downside_volatility_adjusted_signal,identity,true,conditionally_useful,0.074353,0.7,3,951,1.0,false,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,downside_volatility_adjusted_signal,cross_sectional_zscore,false,conditionally_useful,0.074353,0.7,3,951,1.0,false,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,downside_volatility_adjusted_signal,cross_sectional_rank,false,conditionally_useful,0.078683,0.75,3,951,1.0,false,research_only
