candidate_id,readiness_status,base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable,decision_summary
alpha_benchmark_relative_strength_20d__downside_risk_filtered,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_cross_sectional_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_cross_sectional_rank,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_winsorized_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_benchmark_relative_strength_20d__horizon_specific,conditionally_useful,false,true,true,true,true,false,"not_ready_failed:base_precondition_pass,walk_forward_stable"
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_cross_sectional_zscore,conditionally_useful,false,true,true,true,true,false,"not_ready_failed:base_precondition_pass,walk_forward_stable"
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_cross_sectional_rank,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_winsorized_zscore,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_benchmark_relative_strength_20d__liquidity_filtered,conditionally_useful,false,true,true,true,true,false,"not_ready_failed:base_precondition_pass,walk_forward_stable"
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_cross_sectional_zscore,conditionally_useful,false,true,true,true,true,false,"not_ready_failed:base_precondition_pass,walk_forward_stable"
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_cross_sectional_rank,conditionally_useful,false,true,true,true,true,true,not_ready_failed:base_precondition_pass
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_winsorized_zscore,not_ready,false,true,true,false,true,true,"not_ready_failed:base_precondition_pass,holdout_sign_stable_1d"
alpha_benchmark_relative_strength_20d__review_queue_conditioned,not_ready,false,false,true,false,true,true,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_sign_stable_1d"
alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_cross_sectional_zscore,not_ready,false,false,true,false,true,true,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_sign_stable_1d"
