candidate_id,base_refined_factor_id,factor_family,refinement_transform,is_original,n_valid_rows,construction_status,non_actionable_disclaimer
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d__downside_risk_filtered,benchmark_relative_strength,identity,true,4768,constructed_pit_safe,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__downside_risk_filtered,benchmark_relative_strength,cross_sectional_zscore,false,4768,constructed_pit_safe,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__downside_risk_filtered,benchmark_relative_strength,cross_sectional_rank,false,4768,constructed_pit_safe,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__downside_risk_filtered,benchmark_relative_strength,winsorized_zscore,false,4768,constructed_pit_safe,research_only
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d__horizon_specific,benchmark_relative_strength,identity,true,5000,constructed_pit_safe,research_only
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__horizon_specific,benchmark_relative_strength,cross_sectional_zscore,false,5000,constructed_pit_safe,research_only
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__horizon_specific,benchmark_relative_strength,cross_sectional_rank,false,5000,constructed_pit_safe,research_only
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__horizon_specific,benchmark_relative_strength,winsorized_zscore,false,5000,constructed_pit_safe,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d__liquidity_filtered,benchmark_relative_strength,identity,true,3900,constructed_pit_safe,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__liquidity_filtered,benchmark_relative_strength,cross_sectional_zscore,false,3900,constructed_pit_safe,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__liquidity_filtered,benchmark_relative_strength,cross_sectional_rank,false,3900,constructed_pit_safe,research_only
