constraint_id,evaluated_rows,breach_count,fail_closed_count,severity,action_instruction,research_only,not_trading_advice,not_for_execution
beta_budget,1,0,0,none,none,true,true,true
cash_buffer_band,1,1,1,high,none,true,true,true
cluster_concentration_cap,1,0,0,none,none,true,true,true
gross_exposure_max,1,0,0,none,none,true,true,true
liquidity_limit,1,1,1,high,none,true,true,true
max_symbol_risk_contribution,41,0,0,none,none,true,true,true
max_symbol_weight,41,0,0,none,none,true,true,true
min_history_observations,41,0,0,none,none,true,true,true
no_action_instruction,1,0,0,none,none,true,true,true
quarantined_rows_excluded,1,0,0,none,none,true,true,true
research_reference_only_without_holdings,1,1,1,high,none,true,true,true
turnover_limit,1,0,0,none,none,true,true,true
volatility_budget,1,0,0,none,none,true,true,true
