policy_id,cost_bps,turnover,gross_total_return,net_total_return_after_cost,cost_model,research_only,not_trading_advice,not_for_execution
equal_weight,0,0,0.0028954537,0.0028954537,bounded_research_scenario_not_live_execution_cost,true,true,true
equal_weight,10,0,0.0028954537,0.0028954537,bounded_research_scenario_not_live_execution_cost,true,true,true
equal_weight,30,0,0.0028954537,0.0028954537,bounded_research_scenario_not_live_execution_cost,true,true,true
inverse_volatility,0,0.1123603208,-0.01661556,-0.01661556,bounded_research_scenario_not_live_execution_cost,true,true,true
inverse_volatility,10,0.1123603208,-0.01661556,-0.0167279203,bounded_research_scenario_not_live_execution_cost,true,true,true
inverse_volatility,30,0.1123603208,-0.01661556,-0.016952641,bounded_research_scenario_not_live_execution_cost,true,true,true
minimum_variance_diagonal,0,0.216781557,-0.0271288813,-0.0271288813,bounded_research_scenario_not_live_execution_cost,true,true,true
minimum_variance_diagonal,10,0.216781557,-0.0271288813,-0.0273456629,bounded_research_scenario_not_live_execution_cost,true,true,true
minimum_variance_diagonal,30,0.216781557,-0.0271288813,-0.027779226,bounded_research_scenario_not_live_execution_cost,true,true,true
equal_risk_contribution_diagonal,0,0.1123603208,-0.01661556,-0.01661556,bounded_research_scenario_not_live_execution_cost,true,true,true
equal_risk_contribution_diagonal,10,0.1123603208,-0.01661556,-0.0167279203,bounded_research_scenario_not_live_execution_cost,true,true,true
equal_risk_contribution_diagonal,30,0.1123603208,-0.01661556,-0.016952641,bounded_research_scenario_not_live_execution_cost,true,true,true
hrp_correlation_cluster,0,0.1108731098,-0.0164624368,-0.0164624368,bounded_research_scenario_not_live_execution_cost,true,true,true
hrp_correlation_cluster,10,0.1108731098,-0.0164624368,-0.0165733099,bounded_research_scenario_not_live_execution_cost,true,true,true
hrp_correlation_cluster,30,0.1108731098,-0.0164624368,-0.0167950561,bounded_research_scenario_not_live_execution_cost,true,true,true
