fold_id,policy_id,train_start,train_end,test_start,test_end,chronological_split,observations,total_return,mean_daily_return,annualized_volatility,max_drawdown,var_95_daily,cvar_95_daily,research_only,not_trading_advice,not_for_execution
fold_1,equal_weight,2023-01-04,2024-01-16,2024-01-17,2024-04-24,true,63,0.0431674225,0.0007884943,0.2461590551,-0.0840548615,-0.02217372,-0.024054014,true,true,true
fold_1,inverse_volatility,2023-01-04,2024-01-16,2024-01-17,2024-04-24,true,63,0.0454771658,0.0008007322,0.2208143899,-0.0697353209,-0.0208221497,-0.022894468,true,true,true
fold_1,minimum_variance_diagonal,2023-01-04,2024-01-16,2024-01-17,2024-04-24,true,63,0.0508998923,0.0008664636,0.2006215102,-0.0554616137,-0.0191163068,-0.022079974,true,true,true
fold_1,equal_risk_contribution_diagonal,2023-01-04,2024-01-16,2024-01-17,2024-04-24,true,63,0.0454771658,0.0008007322,0.2208143899,-0.0697353209,-0.0208221497,-0.022894468,true,true,true
fold_2,equal_weight,2023-04-11,2024-04-24,2024-04-25,2024-07-26,true,63,-0.0567747974,-0.0008652015,0.1783714268,-0.1253600908,-0.0168583466,-0.0212557071,true,true,true
fold_2,inverse_volatility,2023-04-11,2024-04-24,2024-04-25,2024-07-26,true,63,-0.0636514901,-0.0009889723,0.1668807879,-0.1299371242,-0.0161150858,-0.020274115,true,true,true
fold_2,minimum_variance_diagonal,2023-04-11,2024-04-24,2024-04-25,2024-07-26,true,63,-0.0687375514,-0.0010814233,0.1572515353,-0.131528445,-0.0154389646,-0.0195978553,true,true,true
fold_2,equal_risk_contribution_diagonal,2023-04-11,2024-04-24,2024-04-25,2024-07-26,true,63,-0.0636514901,-0.0009889723,0.1668807879,-0.1299371242,-0.0161150858,-0.020274115,true,true,true
fold_3,equal_weight,2023-07-14,2024-07-26,2024-07-29,2024-11-01,true,63,0.208922809,0.0033412615,0.4125297334,-0.141935738,-0.0278528295,-0.0417168581,true,true,true
fold_3,inverse_volatility,2023-07-14,2024-07-26,2024-07-29,2024-11-01,true,63,0.1978074811,0.0031646331,0.3926288577,-0.1378545863,-0.0269712859,-0.0409340624,true,true,true
fold_3,minimum_variance_diagonal,2023-07-14,2024-07-26,2024-07-29,2024-11-01,true,63,0.1886877367,0.0030168477,0.3742932865,-0.1339783334,-0.0246919332,-0.0399779714,true,true,true
fold_3,equal_risk_contribution_diagonal,2023-07-14,2024-07-26,2024-07-29,2024-11-01,true,63,0.1978074811,0.0031646331,0.3926288577,-0.1378545863,-0.0269712859,-0.0409340624,true,true,true
fold_4,equal_weight,2023-10-19,2024-11-01,2024-11-04,2025-02-07,true,63,0.0241598729,0.0004911198,0.2397792486,-0.1345048708,-0.0256563227,-0.0290861156,true,true,true
fold_4,inverse_volatility,2023-10-19,2024-11-01,2024-11-04,2025-02-07,true,63,0.0186887984,0.000386609,0.2179118763,-0.1210946212,-0.0235547617,-0.0273161551,true,true,true
fold_4,minimum_variance_diagonal,2023-10-19,2024-11-01,2024-11-04,2025-02-07,true,63,0.0139059106,0.0002973009,0.1999773661,-0.1101238701,-0.0220168878,-0.0257642847,true,true,true
fold_4,equal_risk_contribution_diagonal,2023-10-19,2024-11-01,2024-11-04,2025-02-07,true,63,0.0186887984,0.000386609,0.2179118763,-0.1210946212,-0.0235547617,-0.0273161551,true,true,true
