asof_date,symbol,band_width,hysteresis_rule,estimated_daily_band_change,oscillation_status,research_only,not_trading_advice,not_for_execution
2026-06-30,000002.SZ,0.0271153177,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,000063.SZ,0.0227738404,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,000100.SZ,0.0310000801,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,000157.SZ,,fixed_25pct_band_change_tolerance_review_only,0,not_evaluated_for_abstain,true,true,true
2026-06-30,000166.SZ,0.0389552686,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,000333.SZ,0.0409008947,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,000338.SZ,,fixed_25pct_band_change_tolerance_review_only,0,not_evaluated_for_abstain,true,true,true
2026-06-30,000425.SZ,0.0301279765,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,000568.SZ,0.028584388,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,000596.SZ,0.0284068893,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,000651.SZ,,fixed_25pct_band_change_tolerance_review_only,0,not_evaluated_for_abstain,true,true,true
2026-06-30,000725.SZ,,fixed_25pct_band_change_tolerance_review_only,0,not_evaluated_for_abstain,true,true,true
2026-06-30,000786.SZ,0.0299589242,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,000895.SZ,,fixed_25pct_band_change_tolerance_review_only,0,not_evaluated_for_abstain,true,true,true
2026-06-30,000938.SZ,,fixed_25pct_band_change_tolerance_review_only,0,not_evaluated_for_abstain,true,true,true
2026-06-30,000963.SZ,0.0327987778,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,001979.SZ,0.0258173699,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,002236.SZ,0.0224575155,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,002241.SZ,0.0236983413,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,002311.SZ,0.036586196,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,002352.SZ,0.0400871007,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,002371.SZ,0.025435263,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,002415.SZ,,fixed_25pct_band_change_tolerance_review_only,0,not_evaluated_for_abstain,true,true,true
2026-06-30,002460.SZ,0.0236146234,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,002466.SZ,0.0236067708,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,002493.SZ,0.0343038421,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,002594.SZ,0.0325905644,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,002601.SZ,0.0344215342,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,002714.SZ,0.0368166937,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,002736.SZ,0.0386572103,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,002812.SZ,,fixed_25pct_band_change_tolerance_review_only,0,not_evaluated_for_abstain,true,true,true
2026-06-30,002821.SZ,,fixed_25pct_band_change_tolerance_review_only,0,not_evaluated_for_abstain,true,true,true
2026-06-30,002841.SZ,0.027490223,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,002916.SZ,,fixed_25pct_band_change_tolerance_review_only,0,not_evaluated_for_abstain,true,true,true
2026-06-30,002920.SZ,0.0202467115,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,300015.SZ,0.0240236005,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,300033.SZ,,fixed_25pct_band_change_tolerance_review_only,0,not_evaluated_for_abstain,true,true,true
2026-06-30,300059.SZ,0.021089265,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,300122.SZ,0.0222415303,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
2026-06-30,300502.SZ,,fixed_25pct_band_change_tolerance_review_only,0,not_evaluated_for_abstain,true,true,true
2026-06-30,300628.SZ,0.0237337166,fixed_25pct_band_change_tolerance_review_only,0,stable_under_fixed_hysteresis,true,true,true
