factor_id,factor_family,group_type,group_value,row_count,unique_symbols,unique_trade_dates,bucket_count,quantile_count,dominant_bucket_share,minimum_bucket_size,missing_factor_value_count,duplicate_key_count,factor_collapse_detected,group_imbalance_warning,quantile_coverage_status,mean_forward_return_1d,median_forward_return_1d,hit_rate_1d,mean_forward_return_5d,median_forward_return_5d,hit_rate_5d,mean_forward_return_20d,median_forward_return_20d,hit_rate_20d,mean_benchmark_excess_return_1d,median_benchmark_excess_return_1d,positive_excess_rate_1d,mean_benchmark_excess_return_5d,median_benchmark_excess_return_5d,positive_excess_rate_5d,mean_benchmark_excess_return_20d,median_benchmark_excess_return_20d,positive_excess_rate_20d
risk_score_numeric,risk_score,factor_overall,all,6000,50,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,,,,,,,,,,,,,,,,,,
risk_score_numeric,risk_score,factor_bucket,Q1,1200,31,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0003366395,-0.0013296665,0.4433333333,-0.0014124180,-0.0037921671,0.4375000000,-0.0064755826,-0.0127822102,0.4108333333,-0.0008366054,-0.0021461281,0.4225000000,-0.0051115424,-0.0070930548,0.4033333333,-0.0184276792,-0.0243653290,0.3375000000
risk_score_numeric,risk_score,factor_bucket,Q2,1200,45,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0005200904,-0.0011102502,0.4658333333,-0.0016619722,-0.0029848124,0.4608333333,-0.0126804177,-0.0221193321,0.3808333333,-0.0010200563,-0.0015167243,0.4450000000,-0.0053610965,-0.0069444163,0.3991666667,-0.0246325143,-0.0334023596,0.3300000000
risk_score_numeric,risk_score,factor_bucket,Q3,1200,48,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0013350476,-0.0016946140,0.4516666667,-0.0038780270,-0.0045466251,0.4491666667,-0.0158569536,-0.0287639585,0.3700000000,-0.0018350135,-0.0024405883,0.4225000000,-0.0075771514,-0.0078485141,0.4025000000,-0.0278090502,-0.0385759641,0.3141666667
risk_score_numeric,risk_score,factor_bucket,Q4,1200,49,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,0.0006095092,-0.0017970163,0.4575000000,-0.0016938882,-0.0064239944,0.4375000000,-0.0050491013,-0.0271943050,0.3916666667,0.0001095433,-0.0019945161,0.4383333333,-0.0053930126,-0.0096423667,0.3866666667,-0.0170011979,-0.0374340220,0.3333333333
risk_score_numeric,risk_score,factor_bucket,Q5,1200,43,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,0.0011942722,-0.0003606553,0.4808333333,0.0108354055,0.0050675951,0.5258333333,0.0256090080,0.0117522070,0.5291666667,0.0006943063,-0.0021160385,0.4575000000,0.0071362811,0.0005536151,0.5041666667,0.0136569114,-0.0036234126,0.4883333333
risk_score_numeric,risk_score,factor_quantile,1,1200,31,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0003366395,-0.0013296665,0.4433333333,-0.0014124180,-0.0037921671,0.4375000000,-0.0064755826,-0.0127822102,0.4108333333,-0.0008366054,-0.0021461281,0.4225000000,-0.0051115424,-0.0070930548,0.4033333333,-0.0184276792,-0.0243653290,0.3375000000
risk_score_numeric,risk_score,factor_quantile,2,1200,45,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0005200904,-0.0011102502,0.4658333333,-0.0016619722,-0.0029848124,0.4608333333,-0.0126804177,-0.0221193321,0.3808333333,-0.0010200563,-0.0015167243,0.4450000000,-0.0053610965,-0.0069444163,0.3991666667,-0.0246325143,-0.0334023596,0.3300000000
risk_score_numeric,risk_score,factor_quantile,3,1200,48,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0013350476,-0.0016946140,0.4516666667,-0.0038780270,-0.0045466251,0.4491666667,-0.0158569536,-0.0287639585,0.3700000000,-0.0018350135,-0.0024405883,0.4225000000,-0.0075771514,-0.0078485141,0.4025000000,-0.0278090502,-0.0385759641,0.3141666667
risk_score_numeric,risk_score,factor_quantile,4,1200,49,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,0.0006095092,-0.0017970163,0.4575000000,-0.0016938882,-0.0064239944,0.4375000000,-0.0050491013,-0.0271943050,0.3916666667,0.0001095433,-0.0019945161,0.4383333333,-0.0053930126,-0.0096423667,0.3866666667,-0.0170011979,-0.0374340220,0.3333333333
risk_score_numeric,risk_score,factor_quantile,5,1200,43,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,0.0011942722,-0.0003606553,0.4808333333,0.0108354055,0.0050675951,0.5258333333,0.0256090080,0.0117522070,0.5291666667,0.0006943063,-0.0021160385,0.4575000000,0.0071362811,0.0005536151,0.5041666667,0.0136569114,-0.0036234126,0.4883333333
downside_risk_score_numeric,downside_risk_score,factor_overall,all,6000,50,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,,,,,,,,,,,,,,,,,,
downside_risk_score_numeric,downside_risk_score,factor_bucket,Q1,1200,49,120,5,5,0.2000000000,1200,0,0,false,false,quantile_coverage_complete,-0.0003868259,-0.0016050545,0.4441666667,-0.0005925475,-0.0044329926,0.4458333333,0.0027413220,-0.0105449874,0.4483333333,-0.0008867917,-0.0028303923,0.4158333333,-0.0042916719,-0.0083899270,0.4008333333,-0.0092107746,-0.0237725190,0.3733333333
