factor_id,factor_family,rolling_window_spec,rolling_mean_ic,rolling_rank_ic,rolling_top_bottom_spread,stable_window_count,unstable_window_count,sign_flip_count,stability_classification
risk_score_numeric,risk_score,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,0.1206683950,0.0537319897,0.0359297450,18,173,5,factor_unstable
downside_risk_score_numeric,downside_risk_score,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,0.0026855846,-0.0258868296,-0.0014904260,90,101,9,factor_unstable
volatility_component,risk_component,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,0.1317677291,0.0600836963,0.0349372866,47,144,7,factor_unstable
momentum_component,momentum_component,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,0.0970073783,0.0443427626,0.0292517843,149,42,9,factor_unstable
abnormal_positive_movement_flag,abnormal_movement_flag,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,0.0755251791,0.0470003516,0.0253580757,51,140,16,factor_unstable
abnormal_negative_movement_flag,abnormal_movement_flag,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,0.0132594001,0.0017888137,0.0131693410,132,59,24,factor_unstable
provider_crosscheck_component,source_quality_component,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,0.0693588248,0.0419253414,0.0036903308,78,113,9,factor_unstable
data_quality_risk_component,source_quality_component,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,-0.0983395334,-0.1157675182,0.0026048900,80,111,9,factor_unstable
liquidity_risk_component,liquidity_component,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,-0.0777660822,-0.0461984533,-0.0158590455,126,65,9,factor_unstable
trading_status_risk_component,trading_status_component,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,-0.0983395334,-0.1157675182,0.0026048900,80,111,9,factor_unstable
st_status_risk_component,trading_status_component,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,,,0.0036903308,78,113,9,factor_unstable
