factor_id,factor_family,group_type,group_value,row_count,unique_symbols,unique_trade_dates,mean_forward_return_1d,median_forward_return_1d,hit_rate_1d,mean_forward_return_5d,median_forward_return_5d,hit_rate_5d,mean_forward_return_20d,median_forward_return_20d,hit_rate_20d,mean_benchmark_excess_return_1d,median_benchmark_excess_return_1d,positive_excess_rate_1d,mean_benchmark_excess_return_5d,median_benchmark_excess_return_5d,positive_excess_rate_5d,mean_benchmark_excess_return_20d,median_benchmark_excess_return_20d,positive_excess_rate_20d
alpha_short_reversal_1d,short_term_reversal,factor_quantile,1,1200,50,120,-0.0010218490,-0.0023467332,0.4516666667,0.0015652882,-0.0025496185,0.4750000000,0.0045176991,-0.0134358605,0.4391666667,-0.0015218149,-0.0035435314,0.4200000000,-0.0021338362,-0.0078392210,0.4250000000,-0.0074343975,-0.0267546155,0.3916666667
alpha_short_reversal_1d,short_term_reversal,factor_quantile,2,1200,50,120,0.0000390187,-0.0012550403,0.4525000000,-0.0010556387,-0.0037807318,0.4600000000,-0.0060438827,-0.0168825911,0.4116666667,-0.0004609472,-0.0019739874,0.4383333333,-0.0047547631,-0.0063002854,0.4175000000,-0.0179959794,-0.0297583361,0.3708333333
alpha_short_reversal_1d,short_term_reversal,factor_quantile,3,1200,50,120,-0.0000109310,-0.0014484236,0.4533333333,0.0017659582,-0.0031689199,0.4541666667,-0.0038945489,-0.0156487678,0.4333333333,-0.0005108969,-0.0019416916,0.4216666667,-0.0019331661,-0.0058523096,0.4150000000,-0.0158466455,-0.0286482530,0.3466666667
alpha_short_reversal_1d,short_term_reversal,factor_quantile,4,1200,50,120,0.0006979738,0.0000000000,0.4808333333,-0.0027732314,-0.0029017612,0.4558333333,-0.0069399005,-0.0200100222,0.3958333333,0.0001980079,-0.0010996608,0.4658333333,-0.0064723558,-0.0069001464,0.4033333333,-0.0188919971,-0.0303417413,0.3383333333
alpha_short_reversal_1d,short_term_reversal,factor_quantile,5,1200,50,120,-0.0000922085,-0.0016911155,0.4608333333,0.0026867238,-0.0031454889,0.4658333333,-0.0020924141,-0.0229954339,0.4025000000,-0.0005921743,-0.0026035083,0.4400000000,-0.0010124005,-0.0066286224,0.4350000000,-0.0140445107,-0.0354072574,0.3558333333
alpha_short_reversal_1d,short_term_reversal,factor_bucket,HIGH_FACTOR_EXPOSURE_REVIEW_ONLY,2400,50,120,0.0003028827,-0.0008488188,0.4708333333,-0.0000432538,-0.0030075944,0.4608333333,-0.0045161573,-0.0209588322,0.3991666667,-0.0001970832,-0.0017122941,0.4529166667,-0.0037423782,-0.0067866915,0.4191666667,-0.0164682539,-0.0330865533,0.3470833333
alpha_short_reversal_1d,short_term_reversal,factor_bucket,LOW_FACTOR_EXPOSURE_REVIEW_ONLY,2400,50,120,-0.0004914152,-0.0018389153,0.4520833333,0.0002548247,-0.0032827652,0.4675000000,-0.0007630918,-0.0154264898,0.4254166667,-0.0009913811,-0.0026247003,0.4291666667,-0.0034442996,-0.0071396806,0.4212500000,-0.0127151885,-0.0291267790,0.3812500000
alpha_short_reversal_1d,short_term_reversal,factor_bucket,MEDIUM_FACTOR_EXPOSURE_REVIEW_ONLY,1200,50,120,-0.0000109310,-0.0014484236,0.4533333333,0.0017659582,-0.0031689199,0.4541666667,-0.0038945489,-0.0156487678,0.4333333333,-0.0005108969,-0.0019416916,0.4216666667,-0.0019331661,-0.0058523096,0.4150000000,-0.0158466455,-0.0286482530,0.3466666667
alpha_short_reversal_5d,short_term_reversal,factor_quantile,1,1150,50,115,0.0001307365,-0.0015511849,0.4669565217,0.0036266371,-0.0033922619,0.4730434783,0.0136203642,-0.0014567180,0.4930434783,-0.0005226354,-0.0030269893,0.4347826087,0.0000559024,-0.0063179240,0.4400000000,0.0019053650,-0.0185954060,0.4391304348
alpha_short_reversal_5d,short_term_reversal,factor_quantile,2,1150,50,115,-0.0000521328,-0.0014728442,0.4556521739,-0.0019570078,-0.0025614922,0.4634782609,-0.0112861378,-0.0178349872,0.4052173913,-0.0007055047,-0.0025006913,0.4365217391,-0.0055277424,-0.0072038058,0.4182608696,-0.0230011370,-0.0334452602,0.3313043478
alpha_short_reversal_5d,short_term_reversal,factor_quantile,3,1150,50,115,0.0000415538,-0.0011332578,0.4565217391,-0.0012613186,-0.0030150370,0.4573913043,-0.0080274686,-0.0189690631,0.3878260870,-0.0006118181,-0.0015254937,0.4469565217,-0.0048320532,-0.0059051631,0.4139130435,-0.0197424678,-0.0295175928,0.3400000000
alpha_short_reversal_5d,short_term_reversal,factor_quantile,4,1150,50,115,0.0007185640,-0.0009055565,0.4678260870,-0.0002271455,-0.0035721481,0.4521739130,-0.0030262988,-0.0201816364,0.4052173913,0.0000651921,-0.0015691719,0.4400000000,-0.0037978801,-0.0075041883,0.4043478261,-0.0147412980,-0.0292512432,0.3669565217
alpha_short_reversal_5d,short_term_reversal,factor_quantile,5,1150,50,115,-0.0003249254,-0.0014092377,0.4565217391,0.0015179005,-0.0050092446,0.4486956522,-0.0068203022,-0.0298571138,0.3730434783,-0.0009782974,-0.0024838547,0.4234782609,-0.0020528341,-0.0075919083,0.4121739130,-0.0185353013,-0.0412686944,0.3234782609
alpha_short_reversal_5d,short_term_reversal,factor_bucket,HIGH_FACTOR_EXPOSURE_REVIEW_ONLY,2300,50,115,0.0001968193,-0.0011653375,0.4621739130,0.0006453775,-0.0041015167,0.4504347826,-0.0049233005,-0.0253041423,0.3891304348,-0.0004565527,-0.0019254520,0.4317391304,-0.0029253571,-0.0075417975,0.4082608696,-0.0166382997,-0.0338348184,0.3452173913
alpha_short_reversal_5d,short_term_reversal,factor_bucket,INSUFFICIENT_FACTOR_EVIDENCE_REVIEW_ONLY,250,50,5,-0.0042258436,-0.0023692115,0.4400000000,0.0026919775,0.0026180241,0.5360000000,0.0021086522,0.0001648352,0.5000000000,-0.0011974697,-0.0013289268,0.4560000000,-0.0039601102,-0.0024499928,0.4520000000,-0.0152966855,-0.0196095876,0.3720000000
alpha_short_reversal_5d,short_term_reversal,factor_bucket,LOW_FACTOR_EXPOSURE_REVIEW_ONLY,2300,50,115,0.0000393019,-0.0015188131,0.4613043478,0.0008348146,-0.0028669352,0.4682608696,0.0011671132,-0.0123614866,0.4491304348,-0.0006140701,-0.0026873122,0.4356521739,-0.0027359200,-0.0066909709,0.4291304348,-0.0105478860,-0.0288378229,0.3852173913
alpha_short_reversal_5d,short_term_reversal,factor_bucket,MEDIUM_FACTOR_EXPOSURE_REVIEW_ONLY,1150,50,115,0.0000415538,-0.0011332578,0.4565217391,-0.0012613186,-0.0030150370,0.4573913043,-0.0080274686,-0.0189690631,0.3878260870,-0.0006118181,-0.0015254937,0.4469565217,-0.0048320532,-0.0059051631,0.4139130435,-0.0197424678,-0.0295175928,0.3400000000
alpha_benchmark_relative_strength_5d,benchmark_relative_strength,factor_quantile,1,1150,50,115,-0.0003249254,-0.0014092377,0.4565217391,0.0015179005,-0.0050092446,0.4486956522,-0.0068203022,-0.0298571138,0.3730434783,-0.0009782974,-0.0024838547,0.4234782609,-0.0020528341,-0.0075919083,0.4121739130,-0.0185353013,-0.0412686944,0.3234782609
alpha_benchmark_relative_strength_5d,benchmark_relative_strength,factor_quantile,2,1150,50,115,0.0007185640,-0.0009055565,0.4678260870,-0.0002271455,-0.0035721481,0.4521739130,-0.0030262988,-0.0201816364,0.4052173913,0.0000651921,-0.0015691719,0.4400000000,-0.0037978801,-0.0075041883,0.4043478261,-0.0147412980,-0.0292512432,0.3669565217
alpha_benchmark_relative_strength_5d,benchmark_relative_strength,factor_quantile,3,1150,50,115,0.0000415538,-0.0011332578,0.4565217391,-0.0012613186,-0.0030150370,0.4573913043,-0.0080274686,-0.0189690631,0.3878260870,-0.0006118181,-0.0015254937,0.4469565217,-0.0048320532,-0.0059051631,0.4139130435,-0.0197424678,-0.0295175928,0.3400000000
alpha_benchmark_relative_strength_5d,benchmark_relative_strength,factor_quantile,4,1150,50,115,-0.0000521328,-0.0014728442,0.4556521739,-0.0019570078,-0.0025614922,0.4634782609,-0.0112861378,-0.0178349872,0.4052173913,-0.0007055047,-0.0025006913,0.4365217391,-0.0055277424,-0.0072038058,0.4182608696,-0.0230011370,-0.0334452602,0.3313043478
