factor_id,factor_family,rolling_window_spec,rolling_mean_ic,rolling_mean_rank_ic,rolling_top_bottom_excess_spread,stable_window_count,unstable_window_count,sign_flip_count,stability_classification
alpha_short_reversal_1d,short_term_reversal,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,-0.0273627156,-0.0166279778,-0.0020507783,66,125,20,factor_unstable
alpha_short_reversal_5d,short_term_reversal,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,-0.0599156827,-0.0180158231,-0.0029390554,90,101,22,factor_unstable
alpha_benchmark_relative_strength_5d,benchmark_relative_strength,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,0.0599156827,0.0180158231,0.0029390554,101,90,22,factor_unstable
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,0.0768449407,0.0610698092,0.0212042132,145,44,6,factor_unstable
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,0.0712618422,0.0237971635,0.0052396666,144,47,22,factor_unstable
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,0.0929025220,0.0560353115,0.0236135571,156,33,6,factor_unstable
alpha_liquidity_pressure_5d,liquidity_pressure,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,0.0132696820,-0.0000589767,0.0008955057,111,80,22,factor_unstable
alpha_turnover_pressure_20d,liquidity_pressure,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,0.0464228449,0.0411147611,0.0108955800,146,43,10,factor_unstable
alpha_price_volume_confirmation_5d,price_volume_confirmation,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,0.0415045697,0.0059134850,0.0079304865,135,56,13,factor_unstable
alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,0.0999535897,0.0633359842,0.0236501841,156,33,6,factor_unstable
alpha_intraday_recovery_pressure,gap_intraday_pressure,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,0.0136383695,0.0108743185,0.0013399655,104,87,27,factor_unstable
alpha_intraday_weakness_pressure,gap_intraday_pressure,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,-0.0136383695,-0.0108743185,-0.0013139247,89,102,25,factor_unstable
alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,20d_rolling;40d_rolling;first_half_second_half;calendar_month_when_available,0.0887792903,0.0701539014,0.0215187767,143,46,6,factor_unstable
