refined_factor_id,row_count,valid_factor_value_count,missing_factor_value_count,unique_symbols,unique_trade_dates,quantile_count,bucket_count,dominant_bucket_share,minimum_bucket_size,duplicate_key_count,construction_status,no_lookahead_status,evaluation_readiness_status,sparse_exposure_warning,refinement_type,source_factor_id
alpha_benchmark_relative_strength_20d__downside_risk_filtered,6000,4768,1232,50,120,5,4,0.3233333333,954,0,constructed,passed_current_or_past_only,evaluation_ready,false,downside_risk_filtered,alpha_benchmark_relative_strength_20d
alpha_benchmark_relative_strength_20d__horizon_specific,6000,5000,1000,50,120,5,4,0.3333333333,1000,0,constructed,passed_current_or_past_only,evaluation_ready,false,horizon_specific,alpha_benchmark_relative_strength_20d
alpha_benchmark_relative_strength_20d__liquidity_filtered,6000,3900,2100,50,120,5,4,0.3500000000,800,0,constructed,passed_current_or_past_only,evaluation_ready,false,liquidity_filtered,alpha_benchmark_relative_strength_20d
alpha_benchmark_relative_strength_20d__review_queue_conditioned,6000,1300,4700,50,120,5,4,0.7833333333,200,0,constructed,passed_current_or_past_only,evaluation_ready,false,review_queue_conditioned,alpha_benchmark_relative_strength_20d
alpha_benchmark_relative_strength_20d__risk_filtered,6000,4735,1265,50,120,5,4,0.3231666667,941,0,constructed,passed_current_or_past_only,evaluation_ready,false,risk_filtered,alpha_benchmark_relative_strength_20d
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,6000,4768,1232,50,120,5,4,0.3233333333,954,0,constructed,passed_current_or_past_only,evaluation_ready,false,downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d
alpha_downside_vol_adjusted_strength_20d__horizon_specific,6000,5000,1000,50,120,5,4,0.3333333333,1000,0,constructed,passed_current_or_past_only,evaluation_ready,false,horizon_specific,alpha_downside_vol_adjusted_strength_20d
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,6000,3900,2100,50,120,5,4,0.3500000000,800,0,constructed,passed_current_or_past_only,evaluation_ready,false,liquidity_filtered,alpha_downside_vol_adjusted_strength_20d
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,6000,1300,4700,50,120,5,4,0.7833333333,200,0,constructed,passed_current_or_past_only,evaluation_ready,false,review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d
alpha_downside_vol_adjusted_strength_20d__risk_filtered,6000,4735,1265,50,120,5,4,0.3231666667,941,0,constructed,passed_current_or_past_only,evaluation_ready,false,risk_filtered,alpha_downside_vol_adjusted_strength_20d
alpha_price_volume_confirmation_5d__downside_risk_filtered,6000,5504,496,50,120,5,4,0.3733333333,496,0,constructed,passed_current_or_past_only,evaluation_ready,false,downside_risk_filtered,alpha_price_volume_confirmation_5d
alpha_price_volume_confirmation_5d__horizon_specific,6000,5740,260,50,120,5,4,0.3833333333,260,0,constructed,passed_current_or_past_only,evaluation_ready,false,horizon_specific,alpha_price_volume_confirmation_5d
