refined_factor_id,source_factor_id,refinement_type,factor_family,1d_direction_status,5d_direction_status,20d_direction_status,horizon_consistency_status,conflicting_horizon_warning,strongest_horizon,weakest_horizon
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,horizon_specific,downside_volatility_adjusted_signal,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,liquidity_filtered,downside_volatility_adjusted_signal,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,review_queue_conditioned,downside_volatility_adjusted_signal,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d,risk_filtered,downside_volatility_adjusted_signal,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d,downside_risk_filtered,price_volume_confirmation,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_price_volume_confirmation_5d__horizon_specific,alpha_price_volume_confirmation_5d,horizon_specific,price_volume_confirmation,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_price_volume_confirmation_5d__liquidity_filtered,alpha_price_volume_confirmation_5d,liquidity_filtered,price_volume_confirmation,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_price_volume_confirmation_5d__review_queue_conditioned,alpha_price_volume_confirmation_5d,review_queue_conditioned,price_volume_confirmation,expected_direction_aligned,expected_direction_aligned,inverse_signal_warning,horizons_conflicting,true,5d,20d
