refined_factor_id,source_factor_id,refinement_type,factor_family,monotonicity_status_1d,monotonicity_status_5d,monotonicity_status_20d,top_minus_bottom_return_spread_1d,top_minus_bottom_return_spread_5d,top_minus_bottom_return_spread_20d,top_minus_bottom_excess_spread_1d,top_minus_bottom_excess_spread_5d,top_minus_bottom_excess_spread_20d,expected_direction_alignment_status,inverse_signal_warning
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0021891614,0.0087450478,0.0265530746,0.0021989519,0.0088117843,0.0267904079,expected_direction_aligned,false
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0016365782,0.0073708207,0.0242440578,0.0016365782,0.0073708207,0.0242440578,expected_direction_aligned,false
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0009862613,0.0060681834,0.0239475513,0.0009862613,0.0060681834,0.0239475513,expected_direction_aligned,false
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0026204061,0.0178546488,0.0559461763,0.0026204061,0.0178546488,0.0559461763,expected_direction_aligned,false
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0017076563,0.0073142940,0.0208299338,0.0016973387,0.0072999730,0.0208428969,expected_direction_aligned,false
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0016048765,0.0088704558,0.0296874336,0.0016146669,0.0089371923,0.0299247669,expected_direction_aligned,false
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,horizon_specific,downside_volatility_adjusted_signal,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0012628719,0.0068982729,0.0259792880,0.0012628719,0.0068982729,0.0259792880,expected_direction_aligned,false
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,liquidity_filtered,downside_volatility_adjusted_signal,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0011549167,0.0075499262,0.0282246513,0.0011549167,0.0075499262,0.0282246513,expected_direction_aligned,false
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,review_queue_conditioned,downside_volatility_adjusted_signal,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0030732971,0.0185258080,0.0545250686,0.0030732971,0.0185258080,0.0545250686,expected_direction_aligned,false
alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d,risk_filtered,downside_volatility_adjusted_signal,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0014249618,0.0065647310,0.0231552814,0.0014146442,0.0065504100,0.0231682445,expected_direction_aligned,false
alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d,downside_risk_filtered,price_volume_confirmation,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0005738116,0.0023168895,0.0095128009,0.0005778533,0.0023694036,0.0097465856,expected_direction_aligned,false
alpha_price_volume_confirmation_5d__horizon_specific,alpha_price_volume_confirmation_5d,horizon_specific,price_volume_confirmation,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0005371222,0.0021802309,0.0086648328,0.0005320148,0.0021607802,0.0087583201,expected_direction_aligned,false
alpha_price_volume_confirmation_5d__liquidity_filtered,alpha_price_volume_confirmation_5d,liquidity_filtered,price_volume_confirmation,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0005134587,0.0026435567,0.0105178678,0.0005134587,0.0026435567,0.0105178678,expected_direction_aligned,false
alpha_price_volume_confirmation_5d__review_queue_conditioned,alpha_price_volume_confirmation_5d,review_queue_conditioned,price_volume_confirmation,expected_direction_aligned,expected_direction_aligned,inverse_signal_warning,0.0030539916,0.0027623458,-0.0016676718,0.0033776728,0.0040662161,0.0005579155,directionally_inconsistent_or_inverse,true
alpha_price_volume_confirmation_5d__risk_filtered,alpha_price_volume_confirmation_5d,risk_filtered,price_volume_confirmation,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0005485721,0.0018057583,0.0054525141,0.0005389280,0.0017919944,0.0054771412,expected_direction_aligned,false
alpha_risk_adjusted_relative_strength__downside_risk_filtered,alpha_risk_adjusted_relative_strength,downside_risk_filtered,risk_adjusted_alpha_candidate,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0019340700,0.0088452746,0.0256985559,0.0019438604,0.0089120111,0.0259358892,expected_direction_aligned,false
alpha_risk_adjusted_relative_strength__horizon_specific,alpha_risk_adjusted_relative_strength,horizon_specific,risk_adjusted_alpha_candidate,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0015667038,0.0075133854,0.0247596823,0.0015667038,0.0075133854,0.0247596823,expected_direction_aligned,false
alpha_risk_adjusted_relative_strength__liquidity_filtered,alpha_risk_adjusted_relative_strength,liquidity_filtered,risk_adjusted_alpha_candidate,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0009218601,0.0064132846,0.0251598777,0.0009218601,0.0064132846,0.0251598777,expected_direction_aligned,false
alpha_risk_adjusted_relative_strength__review_queue_conditioned,alpha_risk_adjusted_relative_strength,review_queue_conditioned,risk_adjusted_alpha_candidate,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0.0029016999,0.0182231682,0.0502659961,0.0029016999,0.0182231682,0.0502659961,expected_direction_aligned,false
