refined_factor_id,source_factor_id,refinement_type,factor_family,rolling_mean_ic,rolling_mean_rank_ic,rolling_top_bottom_excess_spread,stable_window_count,unstable_window_count,sign_flip_count,stability_classification
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,0.0969466755,0.0773029962,0.0240430108,149,40,8,factor_unstable
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,0.0768449407,0.0610698092,0.0212042132,145,44,6,factor_unstable
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,0.0542471950,0.0426532505,0.0193838926,134,55,7,factor_unstable
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,0.0895069085,0.1315576249,0.0466043591,136,53,7,factor_unstable
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,0.0708559062,0.0554955398,0.0190645328,143,46,6,factor_unstable
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,0.1102526657,0.0745628400,0.0276825395,161,28,6,factor_unstable
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,horizon_specific,downside_volatility_adjusted_signal,0.0999535897,0.0633359842,0.0236501841,156,33,6,factor_unstable
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,liquidity_filtered,downside_volatility_adjusted_signal,0.0821066916,0.0614040752,0.0247823223,153,36,7,factor_unstable
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,review_queue_conditioned,downside_volatility_adjusted_signal,0.1607339052,0.1637717105,0.0474068722,138,51,7,factor_unstable
alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d,risk_filtered,downside_volatility_adjusted_signal,0.0859809277,0.0558619542,0.0217994913,149,40,6,factor_unstable
alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d,downside_risk_filtered,price_volume_confirmation,0.0469054594,0.0110739286,0.0089739064,132,59,13,factor_unstable
alpha_price_volume_confirmation_5d__horizon_specific,alpha_price_volume_confirmation_5d,horizon_specific,price_volume_confirmation,0.0415045697,0.0059134850,0.0079304865,135,56,13,factor_unstable
alpha_price_volume_confirmation_5d__liquidity_filtered,alpha_price_volume_confirmation_5d,liquidity_filtered,price_volume_confirmation,0.0361814315,0.0102073894,0.0097682678,143,48,8,factor_unstable
alpha_price_volume_confirmation_5d__review_queue_conditioned,alpha_price_volume_confirmation_5d,review_queue_conditioned,price_volume_confirmation,0.0808467956,0.0954629862,-0.0128096791,66,73,15,factor_unstable
alpha_price_volume_confirmation_5d__risk_filtered,alpha_price_volume_confirmation_5d,risk_filtered,price_volume_confirmation,0.0331964551,0.0019210815,0.0050773104,130,61,15,factor_unstable
alpha_risk_adjusted_relative_strength__downside_risk_filtered,alpha_risk_adjusted_relative_strength,downside_risk_filtered,risk_adjusted_alpha_candidate,0.0920063399,0.0704191846,0.0221795272,146,43,9,factor_unstable
alpha_risk_adjusted_relative_strength__horizon_specific,alpha_risk_adjusted_relative_strength,horizon_specific,risk_adjusted_alpha_candidate,0.0887792903,0.0701539014,0.0215187767,143,46,6,factor_unstable
alpha_risk_adjusted_relative_strength__liquidity_filtered,alpha_risk_adjusted_relative_strength,liquidity_filtered,risk_adjusted_alpha_candidate,0.0671573371,0.0584167904,0.0195696176,134,55,7,factor_unstable
alpha_risk_adjusted_relative_strength__review_queue_conditioned,alpha_risk_adjusted_relative_strength,review_queue_conditioned,risk_adjusted_alpha_candidate,0.0776396368,0.1244134987,0.0396953337,131,58,7,factor_unstable
alpha_risk_adjusted_relative_strength__risk_filtered,alpha_risk_adjusted_relative_strength,risk_filtered,risk_adjusted_alpha_candidate,0.0748032646,0.0578248333,0.0190852805,144,45,6,factor_unstable
alpha_vol_adj_momentum_20d__downside_risk_filtered,alpha_vol_adj_momentum_20d,downside_risk_filtered,volatility_adjusted_momentum,0.1037186334,0.0676506609,0.0269069495,157,32,6,factor_unstable
alpha_vol_adj_momentum_20d__horizon_specific,alpha_vol_adj_momentum_20d,horizon_specific,volatility_adjusted_momentum,0.0929025220,0.0560353115,0.0236135571,156,33,6,factor_unstable
alpha_vol_adj_momentum_20d__liquidity_filtered,alpha_vol_adj_momentum_20d,liquidity_filtered,volatility_adjusted_momentum,0.0804888767,0.0520238694,0.0236267494,147,42,7,factor_unstable
alpha_vol_adj_momentum_20d__review_queue_conditioned,alpha_vol_adj_momentum_20d,review_queue_conditioned,volatility_adjusted_momentum,0.1475905082,0.1565478662,0.0499474830,139,50,7,factor_unstable
alpha_vol_adj_momentum_20d__risk_filtered,alpha_vol_adj_momentum_20d,risk_filtered,volatility_adjusted_momentum,0.0800229375,0.0479102176,0.0212866455,148,41,6,factor_unstable
alpha_vol_adj_momentum_5d__downside_risk_filtered,alpha_vol_adj_momentum_5d,downside_risk_filtered,volatility_adjusted_momentum,0.0784381245,0.0297761457,0.0055251207,140,51,22,factor_unstable
alpha_vol_adj_momentum_5d__horizon_specific,alpha_vol_adj_momentum_5d,horizon_specific,volatility_adjusted_momentum,0.0712618422,0.0237971635,0.0052396666,144,47,22,factor_unstable
alpha_vol_adj_momentum_5d__liquidity_filtered,alpha_vol_adj_momentum_5d,liquidity_filtered,volatility_adjusted_momentum,0.0729006357,0.0194645632,0.0039294043,120,71,17,factor_unstable
alpha_vol_adj_momentum_5d__review_queue_conditioned,alpha_vol_adj_momentum_5d,review_queue_conditioned,volatility_adjusted_momentum,0.0872232788,0.0796886994,0.0122091830,131,60,8,factor_unstable
alpha_vol_adj_momentum_5d__risk_filtered,alpha_vol_adj_momentum_5d,risk_filtered,volatility_adjusted_momentum,0.0591559894,0.0190762216,0.0030292443,132,59,20,factor_unstable
