refined_factor_id,source_factor_id,refinement_type,factor_family,evaluated_regime_count,informative_regime_count,conditionally_useful_regime_count,ready_regime_count,best_regime_label,best_regime_mean_ic_1d,regime_specificity_status,overall_factor_status,candidate_for_rec_tiering,no_lookahead_status,non_actionable_disclaimer
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,6,5,2,0,risk_on_low_vol_review_only,-0.1719472062,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,6,5,1,0,risk_on_low_vol_review_only,-0.0755980318,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,6,5,1,0,risk_on_low_vol_review_only,-0.0889211415,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,6,5,0,0,risk_on_low_vol_review_only,-0.1667425841,not_useful_in_any_regime,not_ready,false,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,6,5,0,0,mixed_uncertain_review_only,0.0443014733,not_useful_in_any_regime,not_ready,false,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,6,5,1,0,risk_on_low_vol_review_only,-0.1281042747,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,horizon_specific,downside_volatility_adjusted_signal,6,5,1,0,risk_on_low_vol_review_only,-0.0822828330,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,liquidity_filtered,downside_volatility_adjusted_signal,6,5,1,0,mixed_uncertain_review_only,0.0672036785,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,review_queue_conditioned,downside_volatility_adjusted_signal,6,5,0,0,risk_on_low_vol_review_only,-0.1150835889,not_useful_in_any_regime,not_ready,false,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d,risk_filtered,downside_volatility_adjusted_signal,6,5,2,0,risk_on_low_vol_review_only,-0.0472669446,regime_specific_review_only,conditionally_useful,false,passed_current_or_past_only,research_only
