refined_factor_id,regime_count,ic_1d_dispersion_across_regimes,spread_1d_dispersion_across_regimes,max_ic_regime_label,min_ic_regime_label,transition_sensitivity_status,notes
alpha_benchmark_relative_strength_20d__downside_risk_filtered,5,0.0874603940,0.0027821943,mixed_uncertain_review_only,risk_on_low_vol_review_only,regime_sensitive_review_only,review_only_regime_dispersion_not_market_timing_signal
alpha_benchmark_relative_strength_20d__horizon_specific,5,0.0491039163,0.0022165606,mixed_uncertain_review_only,risk_on_low_vol_review_only,regime_sensitive_review_only,review_only_regime_dispersion_not_market_timing_signal
alpha_benchmark_relative_strength_20d__liquidity_filtered,5,0.0515278941,0.0023541051,mixed_uncertain_review_only,risk_on_low_vol_review_only,regime_sensitive_review_only,review_only_regime_dispersion_not_market_timing_signal
alpha_benchmark_relative_strength_20d__review_queue_conditioned,5,0.0837844999,0.0033973985,mixed_uncertain_review_only,risk_on_low_vol_review_only,regime_sensitive_review_only,review_only_regime_dispersion_not_market_timing_signal
alpha_benchmark_relative_strength_20d__risk_filtered,5,0.0190045564,0.0016370949,mixed_uncertain_review_only,liquidity_stress_review_only,regime_insensitive_or_weak_review_only,review_only_regime_dispersion_not_market_timing_signal
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,5,0.0704807188,0.0027488038,mixed_uncertain_review_only,risk_on_low_vol_review_only,regime_sensitive_review_only,review_only_regime_dispersion_not_market_timing_signal
alpha_downside_vol_adjusted_strength_20d__horizon_specific,5,0.0515076122,0.0023827122,mixed_uncertain_review_only,risk_on_low_vol_review_only,regime_sensitive_review_only,review_only_regime_dispersion_not_market_timing_signal
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,5,0.0451280054,0.0033088280,mixed_uncertain_review_only,risk_on_low_vol_review_only,regime_sensitive_review_only,review_only_regime_dispersion_not_market_timing_signal
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,5,0.0743621981,0.0057536332,mixed_uncertain_review_only,risk_on_low_vol_review_only,regime_sensitive_review_only,review_only_regime_dispersion_not_market_timing_signal
alpha_downside_vol_adjusted_strength_20d__risk_filtered,5,0.0302086490,0.0028860803,mixed_uncertain_review_only,risk_on_low_vol_review_only,regime_sensitive_review_only,review_only_regime_dispersion_not_market_timing_signal
alpha_price_volume_confirmation_5d__downside_risk_filtered,5,0.0368499887,0.0023331217,risk_on_high_vol_review_only,risk_on_low_vol_review_only,regime_sensitive_review_only,review_only_regime_dispersion_not_market_timing_signal
alpha_price_volume_confirmation_5d__horizon_specific,5,0.0324741800,0.0024774720,risk_on_high_vol_review_only,risk_on_low_vol_review_only,regime_sensitive_review_only,review_only_regime_dispersion_not_market_timing_signal
alpha_price_volume_confirmation_5d__liquidity_filtered,5,0.0382516265,0.0033808155,risk_on_high_vol_review_only,mixed_uncertain_review_only,regime_sensitive_review_only,review_only_regime_dispersion_not_market_timing_signal
alpha_price_volume_confirmation_5d__review_queue_conditioned,5,0.2437232120,0.0090574698,risk_off_high_vol_review_only,risk_on_high_vol_review_only,regime_sensitive_review_only,review_only_regime_dispersion_not_market_timing_signal
alpha_price_volume_confirmation_5d__risk_filtered,5,0.0307031267,0.0016458063,risk_on_high_vol_review_only,risk_on_low_vol_review_only,regime_sensitive_review_only,review_only_regime_dispersion_not_market_timing_signal
