trade_date,benchmark_symbol,benchmark_trend_regime,benchmark_volatility_regime,breadth_regime,dispersion_regime,liquidity_regime,downside_risk_regime,composite_regime_label,benchmark_trailing_return_5d,benchmark_trailing_return_20d,benchmark_trailing_volatility_20d,universe_positive_return_share,universe_negative_return_share,universe_return_dispersion,universe_liquidity_proxy,high_downside_risk_share,valid_symbol_count,source_provider,universe_mode,no_lookahead_status,label_construction_status,non_actionable_disclaimer
2025-11-19,000300.SH,benchmark_trend_down_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,-0.0154015256,-0.0018344952,,0.3400000000,0.6000000000,1.3994767104,1.3454060000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-11-20,000300.SH,benchmark_trend_down_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_normal_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,-0.0108534855,-0.0026628341,,0.3200000000,0.6800000000,1.7583034742,1.5511560000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-11-21,000300.SH,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_high_review_only,liquidity_normal_review_only,downside_risk_mixed_review_only,insufficient_composite_regime_evidence_review_only,0.0164033311,0.0257253243,,0.0600000000,0.9200000000,2.6783506276,1.6830220000,0.0600000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-11-24,000300.SH,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_mixed_review_only,dispersion_high_review_only,liquidity_normal_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,0.0288750944,0.0367747172,,0.5200000000,0.4800000000,2.4480862081,1.5497320000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-11-25,000300.SH,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_normal_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,0.0142370241,0.0290239764,,0.7400000000,0.2000000000,1.7451208198,1.4580080000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-11-26,000300.SH,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_medium_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,0.0029712733,0.0257730748,,0.5600000000,0.4000000000,1.8923170004,1.4031340000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-11-27,000300.SH,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_mixed_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,0.0069016436,0.0281554068,,0.4000000000,0.5400000000,1.4947294142,1.3681660000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-11-28,000300.SH,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,0.0127854046,0.0288465124,,0.7400000000,0.2400000000,1.1054319658,1.2132440000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-12-01,000300.SH,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,0.0098916295,0.0137412210,,0.6938775510,0.2244897959,1.9971191034,1.4698102041,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-12-02,000300.SH,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,0.0096366435,0.0212867754,,0.2857142857,0.6938775510,1.5474408267,1.3281653061,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-12-03,000300.SH,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,0.0134138265,0.0218251687,,0.2244897959,0.7551020408,1.6461694219,1.3062408163,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-12-04,000300.SH,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_mixed_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,0.0012357457,0.0376502365,,0.5306122449,0.4693877551,1.3199223653,1.0478081633,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-12-05,000300.SH,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_normal_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,-0.0007823691,0.0449679017,,0.7551020408,0.2448979592,1.5731038086,1.4061877551,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-12-08,000300.SH,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_mixed_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,-0.0150797495,0.0335178556,,0.5306122449,0.4693877551,1.9012179402,1.5169857143,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-12-09,000300.SH,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,-0.0218929564,0.0303226690,,0.1428571429,0.8571428571,1.5334485532,1.2927102041,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
