regime_dimension,expanded_agreement_status,row_count,share_of_dates,notes
benchmark_trend,agree_review_only,111,0.9250000000,review_only_cross_source_agreement_not_market_timing_signal
benchmark_trend,diverge_review_only,9,0.0750000000,review_only_cross_source_agreement_not_market_timing_signal
benchmark_trend,expanded_evidence_unavailable_review_only,0,0.0000000000,review_only_cross_source_agreement_not_market_timing_signal
benchmark_volatility,agree_review_only,101,0.8416666667,review_only_cross_source_agreement_not_market_timing_signal
benchmark_volatility,diverge_review_only,0,0.0000000000,review_only_cross_source_agreement_not_market_timing_signal
benchmark_volatility,expanded_evidence_unavailable_review_only,19,0.1583333333,review_only_cross_source_agreement_not_market_timing_signal
breadth,agree_review_only,116,0.9666666667,review_only_cross_source_agreement_not_market_timing_signal
breadth,diverge_review_only,4,0.0333333333,review_only_cross_source_agreement_not_market_timing_signal
breadth,expanded_evidence_unavailable_review_only,0,0.0000000000,review_only_cross_source_agreement_not_market_timing_signal
dispersion,agree_review_only,120,1.0000000000,review_only_cross_source_agreement_not_market_timing_signal
dispersion,diverge_review_only,0,0.0000000000,review_only_cross_source_agreement_not_market_timing_signal
dispersion,expanded_evidence_unavailable_review_only,0,0.0000000000,review_only_cross_source_agreement_not_market_timing_signal
liquidity,agree_review_only,120,1.0000000000,review_only_cross_source_agreement_not_market_timing_signal
liquidity,diverge_review_only,0,0.0000000000,review_only_cross_source_agreement_not_market_timing_signal
liquidity,expanded_evidence_unavailable_review_only,0,0.0000000000,review_only_cross_source_agreement_not_market_timing_signal
downside_risk,agree_review_only,0,0.0000000000,review_only_cross_source_agreement_not_market_timing_signal
downside_risk,diverge_review_only,0,0.0000000000,review_only_cross_source_agreement_not_market_timing_signal
downside_risk,expanded_evidence_unavailable_review_only,120,1.0000000000,review_only_cross_source_agreement_not_market_timing_signal
