trade_date,benchmark_symbol,base_composite_regime_label,refined_composite_regime_label,benchmark_trend_regime,benchmark_volatility_regime,breadth_regime,dispersion_regime,liquidity_regime,downside_risk_regime,benchmark_trend_expanded_agreement,benchmark_volatility_expanded_agreement,breadth_expanded_agreement,dispersion_expanded_agreement,liquidity_expanded_agreement,downside_risk_expanded_agreement,broad_index_trend_20d,broad_index_volatility_20d,sector_breadth_positive_share,sector_dispersion_level,market_liquidity_pressure,expanded_dimension_available_count,expanded_dimension_agreement_count,regime_confidence_tier,source_coverage_score,external_data_quality_score,regime_refinement_status,no_lookahead_status,non_actionable_disclaimer
2025-11-19,000300.SH,insufficient_composite_regime_evidence_review_only,insufficient_composite_regime_evidence_review_only,benchmark_trend_down_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,diverge_review_only,expanded_evidence_unavailable_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,-0.0018344952,,0.3400000000,1.3994767104,liquidity_stressed_review_only,4,3,medium_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-11-20,000300.SH,insufficient_composite_regime_evidence_review_only,insufficient_composite_regime_evidence_review_only,benchmark_trend_down_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_normal_review_only,downside_risk_low_review_only,diverge_review_only,expanded_evidence_unavailable_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,-0.0026628341,,0.3200000000,1.7583034742,liquidity_normal_review_only,4,3,medium_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-11-21,000300.SH,insufficient_composite_regime_evidence_review_only,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_high_review_only,liquidity_normal_review_only,downside_risk_mixed_review_only,agree_review_only,expanded_evidence_unavailable_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0257253243,,0.0600000000,2.6783506276,liquidity_normal_review_only,4,4,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-11-24,000300.SH,insufficient_composite_regime_evidence_review_only,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_mixed_review_only,dispersion_high_review_only,liquidity_normal_review_only,downside_risk_low_review_only,agree_review_only,expanded_evidence_unavailable_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0367747172,,0.5200000000,2.4480862081,liquidity_normal_review_only,4,4,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-11-25,000300.SH,insufficient_composite_regime_evidence_review_only,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_normal_review_only,downside_risk_low_review_only,agree_review_only,expanded_evidence_unavailable_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0290239764,,0.7400000000,1.7451208198,liquidity_normal_review_only,4,4,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-11-26,000300.SH,insufficient_composite_regime_evidence_review_only,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_medium_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,agree_review_only,expanded_evidence_unavailable_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0257730748,,0.5600000000,1.8923170004,liquidity_stressed_review_only,4,4,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-11-27,000300.SH,insufficient_composite_regime_evidence_review_only,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_mixed_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,agree_review_only,expanded_evidence_unavailable_review_only,diverge_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0281554068,,0.4000000000,1.4947294142,liquidity_stressed_review_only,4,3,medium_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-11-28,000300.SH,insufficient_composite_regime_evidence_review_only,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,agree_review_only,expanded_evidence_unavailable_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0288465124,,0.7400000000,1.1054319658,liquidity_stressed_review_only,4,4,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-01,000300.SH,insufficient_composite_regime_evidence_review_only,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,agree_review_only,expanded_evidence_unavailable_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0137412210,,0.6938775510,1.9971191034,liquidity_normal_review_only,4,4,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-02,000300.SH,insufficient_composite_regime_evidence_review_only,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,agree_review_only,expanded_evidence_unavailable_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0212867754,,0.2857142857,1.5474408267,liquidity_stressed_review_only,4,4,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
