regime_dimension,regime_label,row_count,unique_trade_dates,unique_symbols_if_symbol_level,date_min,date_max,dominant_label_share,minimum_label_count,construction_status,no_lookahead_status
benchmark_trend,benchmark_trend_down_review_only,42,42,,2025-11-19,2026-05-21,0.5583333333,11,constructed,passed_current_or_past_only
benchmark_trend,benchmark_trend_flat_review_only,11,11,,2025-11-19,2026-05-21,0.5583333333,11,constructed,passed_current_or_past_only
benchmark_trend,benchmark_trend_up_review_only,67,67,,2025-11-19,2026-05-21,0.5583333333,11,constructed,passed_current_or_past_only
benchmark_volatility,benchmark_vol_high_review_only,34,34,,2025-11-19,2026-05-21,0.2833333333,19,constructed,passed_current_or_past_only
benchmark_volatility,benchmark_vol_low_review_only,34,34,,2025-11-19,2026-05-21,0.2833333333,19,constructed,passed_current_or_past_only
benchmark_volatility,benchmark_vol_medium_review_only,33,33,,2025-11-19,2026-05-21,0.2833333333,19,constructed,passed_current_or_past_only
benchmark_volatility,insufficient_benchmark_vol_evidence_review_only,19,19,,2025-11-19,2026-05-21,0.2833333333,19,constructed_with_insufficient_evidence_warning,passed_current_or_past_only
breadth,breadth_mixed_review_only,24,24,,2025-11-19,2026-05-21,0.5083333333,24,constructed,passed_current_or_past_only
breadth,breadth_negative_review_only,61,61,,2025-11-19,2026-05-21,0.5083333333,24,constructed,passed_current_or_past_only
breadth,breadth_positive_review_only,35,35,,2025-11-19,2026-05-21,0.5083333333,24,constructed,passed_current_or_past_only
dispersion,dispersion_high_review_only,40,40,,2025-11-19,2026-05-21,0.3333333333,40,constructed,passed_current_or_past_only
dispersion,dispersion_low_review_only,40,40,,2025-11-19,2026-05-21,0.3333333333,40,constructed,passed_current_or_past_only
dispersion,dispersion_medium_review_only,40,40,,2025-11-19,2026-05-21,0.3333333333,40,constructed,passed_current_or_past_only
liquidity,liquidity_expanded_review_only,30,30,,2025-11-19,2026-05-21,0.5000000000,30,constructed,passed_current_or_past_only
liquidity,liquidity_normal_review_only,60,60,,2025-11-19,2026-05-21,0.5000000000,30,constructed,passed_current_or_past_only
liquidity,liquidity_stressed_review_only,30,30,,2025-11-19,2026-05-21,0.5000000000,30,constructed,passed_current_or_past_only
downside_risk,downside_risk_high_review_only,5,5,,2025-11-19,2026-05-21,0.7583333333,5,constructed,passed_current_or_past_only
downside_risk,downside_risk_low_review_only,91,91,,2025-11-19,2026-05-21,0.7583333333,5,constructed,passed_current_or_past_only
downside_risk,downside_risk_mixed_review_only,24,24,,2025-11-19,2026-05-21,0.7583333333,5,constructed,passed_current_or_past_only
composite,insufficient_composite_regime_evidence_review_only,19,19,,2025-11-19,2026-05-21,0.3166666667,2,constructed_with_insufficient_evidence_warning,passed_current_or_past_only
composite,liquidity_stress_review_only,19,19,,2025-11-19,2026-05-21,0.3166666667,2,constructed,passed_current_or_past_only
composite,mixed_uncertain_review_only,38,38,,2025-11-19,2026-05-21,0.3166666667,2,constructed,passed_current_or_past_only
composite,risk_off_high_vol_review_only,17,17,,2025-11-19,2026-05-21,0.3166666667,2,constructed,passed_current_or_past_only
composite,risk_on_high_vol_review_only,25,25,,2025-11-19,2026-05-21,0.3166666667,2,constructed,passed_current_or_past_only
composite,risk_on_low_vol_review_only,2,2,,2025-11-19,2026-05-21,0.3166666667,2,constructed,passed_current_or_past_only
