symbol,trade_date,close,return_1d,source_provider,no_lookahead_status
000002.SZ,2023-01-03,17.33,,akshare_sina,passed_current_or_past_only
000002.SZ,2023-01-04,18.13,0.04616272,akshare_sina,passed_current_or_past_only
000002.SZ,2023-01-05,18.38,0.0137893,akshare_sina,passed_current_or_past_only
000002.SZ,2023-01-06,18.27,-0.00598477,akshare_sina,passed_current_or_past_only
000002.SZ,2023-01-09,17.86,-0.02244116,akshare_sina,passed_current_or_past_only
000002.SZ,2023-01-10,17.87,0.00055991,akshare_sina,passed_current_or_past_only
000002.SZ,2023-01-11,18.06,0.01063234,akshare_sina,passed_current_or_past_only
000002.SZ,2023-01-12,17.68,-0.02104097,akshare_sina,passed_current_or_past_only
000002.SZ,2023-01-13,17.86,0.010181,akshare_sina,passed_current_or_past_only
000002.SZ,2023-01-16,17.78,-0.00447928,akshare_sina,passed_current_or_past_only
000002.SZ,2023-01-17,17.82,0.00224972,akshare_sina,passed_current_or_past_only
000002.SZ,2023-01-18,17.57,-0.01402918,akshare_sina,passed_current_or_past_only
000002.SZ,2023-01-19,17.64,0.00398406,akshare_sina,passed_current_or_past_only
000002.SZ,2023-01-20,17.67,0.00170068,akshare_sina,passed_current_or_past_only
000002.SZ,2023-01-30,17.2,-0.02659875,akshare_sina,passed_current_or_past_only
000002.SZ,2023-01-31,17.39,0.01104651,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-01,17.29,-0.00575043,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-02,17.29,0.0,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-03,17.09,-0.01156738,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-06,16.43,-0.03861908,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-07,16.7,0.01643335,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-08,16.64,-0.00359281,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-09,16.8,0.00961538,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-10,16.8,0.0,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-13,16.79,-0.00059524,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-14,16.84,0.00297796,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-15,16.49,-0.02078385,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-16,16.48,-0.00060643,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-17,16.25,-0.01395631,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-20,16.7,0.02769231,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-21,16.76,0.00359281,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-22,16.57,-0.01133652,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-23,16.61,0.002414,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-24,16.37,-0.01444913,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-27,16.33,-0.00244349,akshare_sina,passed_current_or_past_only
000002.SZ,2023-02-28,16.3,-0.00183711,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-01,16.37,0.00429448,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-02,15.91,-0.02810018,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-03,15.98,0.00439975,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-06,15.64,-0.0212766,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-07,15.34,-0.01918159,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-08,15.3,-0.00260756,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-09,15.33,0.00196078,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-10,15.05,-0.01826484,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-13,15.06,0.00066445,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-14,14.97,-0.0059761,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-15,15.08,0.00734803,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-16,14.97,-0.00729443,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-17,15.12,0.01002004,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-20,14.95,-0.01124339,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-21,14.97,0.00133779,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-22,15.12,0.01002004,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-23,15.08,-0.0026455,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-24,15.03,-0.00331565,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-27,14.71,-0.02129075,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-28,14.59,-0.00815772,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-29,14.63,0.0027416,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-30,14.83,0.01367054,akshare_sina,passed_current_or_past_only
000002.SZ,2023-03-31,14.49,-0.0229265,akshare_sina,passed_current_or_past_only
000002.SZ,2023-04-03,14.65,0.0110421,akshare_sina,passed_current_or_past_only
000002.SZ,2023-04-04,14.4,-0.01706485,akshare_sina,passed_current_or_past_only
000002.SZ,2023-04-06,14.3,-0.00694444,akshare_sina,passed_current_or_past_only
000002.SZ,2023-04-07,15.04,0.05174825,akshare_sina,passed_current_or_past_only
000002.SZ,2023-04-10,14.93,-0.00731383,akshare_sina,passed_current_or_past_only
000002.SZ,2023-04-11,15.25,0.02143336,akshare_sina,passed_current_or_past_only
000002.SZ,2023-04-12,15.26,0.00065574,akshare_sina,passed_current_or_past_only
000002.SZ,2023-04-13,15.07,-0.01245085,akshare_sina,passed_current_or_past_only
000002.SZ,2023-04-14,15.03,-0.00265428,akshare_sina,passed_current_or_past_only
000002.SZ,2023-04-17,15.15,0.00798403,akshare_sina,passed_current_or_past_only
000002.SZ,2023-04-18,15.12,-0.0019802,akshare_sina,passed_current_or_past_only
000002.SZ,2023-04-19,14.72,-0.02645503,akshare_sina,passed_current_or_past_only
000002.SZ,2023-04-20,14.67,-0.00339674,akshare_sina,passed_current_or_past_only
000002.SZ,2023-04-21,14.55,-0.00817996,akshare_sina,passed_current_or_past_only
000002.SZ,2023-04-24,14.17,-0.02611684,akshare_sina,passed_current_or_past_only
000002.SZ,2023-04-25,14.15,-0.00141143,akshare_sina,passed_current_or_past_only
000002.SZ,2023-04-26,14.07,-0.00565371,akshare_sina,passed_current_or_past_only
000002.SZ,2023-04-27,14.19,0.00852878,akshare_sina,passed_current_or_past_only
000002.SZ,2023-04-28,14.39,0.01409443,akshare_sina,passed_current_or_past_only
000002.SZ,2023-05-04,14.21,-0.01250869,akshare_sina,passed_current_or_past_only
