symbol,sina_symbol,first_date,last_date,n_dates,status
000001.SZ,sz000001,,,0,failed_or_empty
000002.SZ,sz000002,2023-01-03,2026-06-30,843,acquired
000063.SZ,sz000063,2023-01-03,2026-06-30,843,acquired
000100.SZ,sz000100,2023-01-03,2026-06-30,843,acquired
000157.SZ,sz000157,2023-01-03,2026-06-30,843,acquired
000166.SZ,sz000166,2023-01-03,2026-06-30,843,acquired
000333.SZ,sz000333,2023-01-03,2026-06-30,843,acquired
000338.SZ,sz000338,2023-01-03,2026-06-30,843,acquired
000425.SZ,sz000425,2023-01-03,2026-06-30,843,acquired
000538.SZ,sz000538,,,0,failed_or_empty
000568.SZ,sz000568,2023-01-03,2026-06-30,843,acquired
000596.SZ,sz000596,2023-01-03,2026-06-30,843,acquired
000651.SZ,sz000651,2023-01-03,2026-06-30,843,acquired
000725.SZ,sz000725,2023-01-03,2026-06-30,843,acquired
000776.SZ,sz000776,,,0,failed_or_empty
000786.SZ,sz000786,2023-01-03,2026-06-30,843,acquired
000895.SZ,sz000895,2023-01-03,2026-06-30,843,acquired
000938.SZ,sz000938,2023-01-03,2026-06-30,843,acquired
000963.SZ,sz000963,2023-01-03,2026-06-30,843,acquired
001979.SZ,sz001979,2023-01-03,2026-06-30,843,acquired
002236.SZ,sz002236,2023-01-03,2026-06-30,843,acquired
002241.SZ,sz002241,2023-01-03,2026-06-30,843,acquired
002271.SZ,sz002271,,,0,failed_or_empty
002304.SZ,sz002304,,,0,failed_or_empty
002311.SZ,sz002311,2023-01-03,2026-06-30,843,acquired
002352.SZ,sz002352,2023-01-03,2026-06-30,843,acquired
002371.SZ,sz002371,2023-01-03,2026-06-30,843,acquired
002415.SZ,sz002415,2023-01-03,2026-06-30,843,acquired
002459.SZ,sz002459,,,0,failed_or_empty
002460.SZ,sz002460,2023-01-03,2026-06-30,843,acquired
002466.SZ,sz002466,2023-01-03,2026-06-30,843,acquired
002475.SZ,sz002475,,,0,failed_or_empty
002493.SZ,sz002493,2023-01-03,2026-06-30,843,acquired
002594.SZ,sz002594,2023-01-03,2026-06-30,843,acquired
002601.SZ,sz002601,2023-01-03,2026-06-30,843,acquired
002714.SZ,sz002714,2023-01-03,2026-06-30,843,acquired
002736.SZ,sz002736,2023-01-03,2026-06-30,833,acquired
002812.SZ,sz002812,2023-01-03,2026-06-30,833,acquired
002821.SZ,sz002821,2023-01-03,2026-06-30,843,acquired
002841.SZ,sz002841,2023-01-03,2026-06-30,843,acquired
002916.SZ,sz002916,2023-01-03,2026-06-30,843,acquired
002920.SZ,sz002920,2023-01-03,2026-06-30,843,acquired
300014.SZ,sz300014,,,0,failed_or_empty
300015.SZ,sz300015,2023-01-03,2026-06-30,843,acquired
300033.SZ,sz300033,2023-01-03,2026-06-30,843,acquired
300059.SZ,sz300059,2023-01-03,2026-06-30,843,acquired
300122.SZ,sz300122,2023-01-03,2026-06-30,843,acquired
300124.SZ,sz300124,,,0,failed_or_empty
300502.SZ,sz300502,2023-01-03,2026-06-30,843,acquired
300628.SZ,sz300628,2023-01-03,2026-06-30,843,acquired
