trading_date,asof_ts,symbol,abstain,abstention_reason,confidence,provider_quality,regime_state,research_only,not_trading_advice,not_for_execution
2026-07-01,2026-07-01T08:30:00+08:00,000157.SZ,true,unresolved_provider_discrepancy,0.82,quarantined_provider_discrepancy,regime_unavailable_review_only,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,000338.SZ,true,sparse_or_unstable_regime_evidence,0.7,accepted_or_disclosed_warning,regime_unavailable_review_only,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,000651.SZ,true,unresolved_provider_discrepancy,0.82,quarantined_provider_discrepancy,regime_unavailable_review_only,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,000725.SZ,true,sparse_or_unstable_regime_evidence,0.7,accepted_or_disclosed_warning,regime_unavailable_review_only,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,000895.SZ,true,unresolved_provider_discrepancy,0.82,quarantined_provider_discrepancy,regime_unavailable_review_only,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,000938.SZ,true,sparse_or_unstable_regime_evidence,0.7,accepted_or_disclosed_warning,regime_unavailable_review_only,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,002415.SZ,true,unresolved_provider_discrepancy,0.82,quarantined_provider_discrepancy,regime_unavailable_review_only,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,002812.SZ,true,sparse_or_unstable_regime_evidence;unresolved_provider_discrepancy,0.52,quarantined_provider_discrepancy,regime_unavailable_review_only,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,002821.SZ,true,sparse_or_unstable_regime_evidence,0.7,accepted_or_disclosed_warning,regime_unavailable_review_only,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,002916.SZ,true,sparse_or_unstable_regime_evidence,0.7,accepted_or_disclosed_warning,regime_unavailable_review_only,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,300033.SZ,true,sparse_or_unstable_regime_evidence;unresolved_provider_discrepancy;unstable_band_sensitivity,0.34,quarantined_provider_discrepancy,regime_unavailable_review_only,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,300502.SZ,true,sparse_or_unstable_regime_evidence;unstable_band_sensitivity,0.52,accepted_or_disclosed_warning,regime_unavailable_review_only,true,true,true
