trade_date,symbol,open,high,low,close,volume,amount,provider_id,provider_mode,source_bundle_id,ingest_ts,schema_version,data_quality_flags
2023-01-03,000001.SZ,10.99,11.64,10.84,11.56,2194128.0,2971546989.04,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,local_runtime,goal06c7.ohlcv.v1,SOURCE_BACKED
2023-01-04,000001.SZ,11.5,12.21,11.42,12.11,2189683.0,3110729449.03,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,local_runtime,goal06c7.ohlcv.v1,SOURCE_BACKED
2023-01-05,000001.SZ,12.19,12.53,12.16,12.27,1665425.0,2417272355.99,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,local_runtime,goal06c7.ohlcv.v1,SOURCE_BACKED
2023-01-06,000001.SZ,12.29,12.51,12.27,12.41,1195745.0,1747915169.26,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,local_runtime,goal06c7.ohlcv.v1,SOURCE_BACKED
2023-01-09,000001.SZ,12.54,12.67,12.31,12.59,1057659.0,1561368487.3,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,local_runtime,goal06c7.ohlcv.v1,SOURCE_BACKED
2023-01-10,000001.SZ,12.55,12.68,12.18,12.23,1269423.0,1851093716.76,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,local_runtime,goal06c7.ohlcv.v1,SOURCE_BACKED
2023-01-11,000001.SZ,12.24,12.57,12.18,12.46,830566.0,1217450811.64,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,local_runtime,goal06c7.ohlcv.v1,SOURCE_BACKED
2023-01-12,000001.SZ,12.56,12.56,12.32,12.46,625695.0,914367699.65,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,local_runtime,goal06c7.ohlcv.v1,SOURCE_BACKED
2023-01-13,000001.SZ,12.46,12.74,12.34,12.74,949086.0,1407181074.29,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,local_runtime,goal06c7.ohlcv.v1,SOURCE_BACKED
2023-01-16,000001.SZ,12.74,13.07,12.64,12.87,1560040.0,2356399992.83,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,local_runtime,goal06c7.ohlcv.v1,SOURCE_BACKED
2023-01-17,000001.SZ,12.92,12.97,12.56,12.76,935835.0,1396151514.52,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,local_runtime,goal06c7.ohlcv.v1,SOURCE_BACKED
2023-01-18,000001.SZ,12.74,12.97,12.7,12.9,718434.0,1083362997.53,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,local_runtime,goal06c7.ohlcv.v1,SOURCE_BACKED
2023-01-19,000001.SZ,12.92,13.04,12.66,12.88,641875.0,963744633.47,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,local_runtime,goal06c7.ohlcv.v1,SOURCE_BACKED
2023-01-20,000001.SZ,12.95,13.03,12.79,12.92,608590.0,920144805.73,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,local_runtime,goal06c7.ohlcv.v1,SOURCE_BACKED
