symbol,name,exchange,liquidity_proxy,source_coverage_status,approval_status,notes,coverage_status,provider_id,provider_mode,source_bundle_id
000001.SZ,000001.SZ,SZ,1378008928.5655,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
000002.SZ,000002.SZ,SZ,1044941258.829,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
000063.SZ,000063.SZ,SZ,8403907537.677999,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
000100.SZ,000100.SZ,SZ,3107080955.667999,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
000157.SZ,000157.SZ,SZ,426439984.6495,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
000166.SZ,000166.SZ,SZ,529399181.203,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
000333.SZ,000333.SZ,SZ,2345607795.133,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
000338.SZ,000338.SZ,SZ,1090721277.217,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
000425.SZ,000425.SZ,SZ,723566276.5395,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
000538.SZ,000538.SZ,SZ,552555922.3145,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
000568.SZ,000568.SZ,SZ,1725461320.0315,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
000596.SZ,000596.SZ,SZ,515729979.5525,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
000651.SZ,000651.SZ,SZ,1859249321.4115,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
000725.SZ,000725.SZ,SZ,2240597569.41,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
000776.SZ,000776.SZ,SZ,649313575.6535,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
000786.SZ,000786.SZ,SZ,398453584.461,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
000895.SZ,000895.SZ,SZ,393384581.799,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
000938.SZ,000938.SZ,SZ,3066560529.806,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
000963.SZ,000963.SZ,SZ,359277499.0905,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
001979.SZ,001979.SZ,SZ,882732847.4275,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
002236.SZ,002236.SZ,SZ,754316659.242,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
002241.SZ,002241.SZ,SZ,3386500035.912,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
002271.SZ,002271.SZ,SZ,601656389.6745,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
002304.SZ,002304.SZ,SZ,533575196.875,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
002311.SZ,002311.SZ,SZ,295184285.6345,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
002352.SZ,002352.SZ,SZ,818630068.8,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
002371.SZ,002371.SZ,SZ,3113472594.7715,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
002415.SZ,002415.SZ,SZ,1399270976.864501,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
002459.SZ,002459.SZ,SZ,644935208.921,source_backed_ohlcv_ready,approved_source_backed,approved by source-backed OHLCV coverage,source_backed_ready,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current
