trade_date,symbol,as_of_date,decision_cutoff_ts,market_trend_5d,stock_momentum_5d,stock_momentum_20d,stock_gap_signal,stock_volatility_20d,turnover_proxy,relative_strength_20d,source_health_score,source_count,provider_id,provider_mode,fwd_1d_return,fwd_3d_return,fwd_5d_return,excess_fwd_1d_return,excess_fwd_3d_return,excess_fwd_5d_return,usable_for_validation,panel_source_type,source_bundle_id,review_only,data_quality_flags,leakage_flags,panel_tier
2024-06-17,000001.SZ,2024-06-14,2024-06-17T09:00:00+08:00,-0.014119,0.0,-0.029189,0.011261,0.013065,1639166888.57,-0.002041000000000001,1.0,2,eastmoney_akshare_contract,akshare_direct,-0.002247,-0.005618,-0.013483,-0.004902,0.003691,0.003312,true,real_source_backed,goal06c7_provider_ladder_engineering_pilot_current,true,SOURCE_BACKED;SOURCE_BACKED,PASS,engineering_pilot
2024-06-18,000001.SZ,2024-06-17,2024-06-18T09:00:00+08:00,-0.010607,-0.018743,-0.063158,-0.008909,0.011397,1513563556.558,-0.02461200000000001,1.0,2,eastmoney_akshare_contract,akshare_direct,0.007883,-0.009009,0.0,0.012633,0.005085,0.024732,true,real_source_backed,goal06c7_provider_ladder_engineering_pilot_current,true,SOURCE_BACKED;SOURCE_BACKED,PASS,engineering_pilot
2024-06-19,000001.SZ,2024-06-18,2024-06-19T09:00:00+08:00,0.000765,-0.007821,-0.061311,-0.002247,0.011396,1425190522.528,-0.021925999999999994,1.0,2,eastmoney_akshare_contract,akshare_direct,-0.011173,-0.018994,-0.007821,-0.003955,-0.004275,0.00592,true,real_source_backed,goal06c7_provider_ladder_engineering_pilot_current,true,SOURCE_BACKED;SOURCE_BACKED,PASS,engineering_pilot
2024-06-20,000001.SZ,2024-06-19,2024-06-20T09:00:00+08:00,-0.004337,-0.001116,-0.070613,0.007883,0.010652,1348764688.3905,-0.030513999999999993,1.0,2,eastmoney_akshare_contract,akshare_direct,-0.00565,0.00339,0.00904,-0.003463,0.016344,0.023073,true,real_source_backed,goal06c7_provider_ladder_engineering_pilot_current,true,SOURCE_BACKED;SOURCE_BACKED,PASS,engineering_pilot
2024-06-21,000001.SZ,2024-06-20,2024-06-21T09:00:00+08:00,-0.00648,-0.003378,-0.08195,-0.011173,0.010719,1257595753.0275,-0.032777999999999995,1.0,2,eastmoney_akshare_contract,akshare_direct,-0.002273,0.009091,0.017045,0.003108,0.013485,0.02676,true,real_source_backed,goal06c7_provider_ladder_engineering_pilot_current,true,SOURCE_BACKED;SOURCE_BACKED,PASS,engineering_pilot
2024-06-24,000001.SZ,2024-06-21,2024-06-24T09:00:00+08:00,-0.012963,-0.020045,-0.07173,-0.00565,0.010345,1193614633.7105,-0.031593,1.0,2,eastmoney_akshare_contract,akshare_direct,0.01139,0.017084,0.042141,0.016829,0.02361,0.041747,true,real_source_backed,goal06c7_provider_ladder_engineering_pilot_current,true,SOURCE_BACKED;SOURCE_BACKED,PASS,engineering_pilot
2024-06-25,000001.SZ,2024-06-24,2024-06-25T09:00:00+08:00,-0.016795,-0.013483,-0.064963,-0.002273,0.010261,1161193490.172,-0.030347000000000006,1.0,2,eastmoney_akshare_contract,akshare_direct,0.0,0.007883,0.036036,-0.006466,0.006796,0.032019,true,real_source_backed,goal06c7_provider_ladder_engineering_pilot_current,true,SOURCE_BACKED;SOURCE_BACKED,PASS,engineering_pilot
2024-06-26,000001.SZ,2024-06-25,2024-06-26T09:00:00+08:00,-0.024732,0.0,-0.074035,0.01139,0.00925,1116796487.888,-0.025128000000000004,1.0,2,eastmoney_akshare_contract,akshare_direct,0.005631,0.030405,0.025901,0.013142,0.031003,0.030743,true,real_source_backed,goal06c7_provider_ladder_engineering_pilot_current,true,SOURCE_BACKED;SOURCE_BACKED,PASS,engineering_pilot
2024-06-27,000001.SZ,2024-06-26,2024-06-27T09:00:00+08:00,-0.013741,-0.007821,-0.063291,0.0,0.009111,1079629321.797,-0.027574,1.0,2,eastmoney_akshare_contract,akshare_direct,0.00224,0.030235,0.014558,5.7e-05,0.025119,0.016964,true,real_source_backed,goal06c7_provider_ladder_engineering_pilot_current,true,SOURCE_BACKED;SOURCE_BACKED,PASS,engineering_pilot
2024-06-28,000001.SZ,2024-06-27,2024-06-28T09:00:00+08:00,-0.014033,0.00904,-0.043897,0.005631,0.008901,1044804761.0155,0.0002149999999999999,1.0,2,eastmoney_akshare_contract,akshare_direct,0.022346,0.017877,-0.020112,0.017574,0.017371,-0.011272,true,real_source_backed,goal06c7_provider_ladder_engineering_pilot_current,true,SOURCE_BACKED;SOURCE_BACKED,PASS,engineering_pilot
