trade_date,symbol,baseline_id,rank_score,rank_position,rank_percentile,target_label,usable_for_ranking_eval,notes
2026-06-16,600036.SH,score_based_alpha_ranking,0.582,1,1.0,-0.001,true,review_only_rank
2026-06-16,002475.SZ,score_based_alpha_ranking,0.4015,2,0.0,0.012,true,review_only_rank
2026-06-16,600036.SH,signal_quality_ranking,0.94,1,1.0,-0.001,true,review_only_rank
2026-06-16,002475.SZ,signal_quality_ranking,0.62,2,0.0,0.012,true,review_only_rank
2026-06-16,002475.SZ,naive_equal_weight_ranking,0.0,1,1.0,0.012,true,constant_naive_tie_broken_by_symbol
2026-06-16,600036.SH,naive_equal_weight_ranking,0.0,2,0.0,-0.001,true,constant_naive_tie_broken_by_symbol
2026-06-17,600036.SH,score_based_alpha_ranking,0.534,1,1.0,0.006,true,review_only_rank
2026-06-17,002475.SZ,score_based_alpha_ranking,0.463,2,0.0,-0.005,true,review_only_rank
2026-06-17,600036.SH,signal_quality_ranking,0.92,1,1.0,0.006,true,review_only_rank
2026-06-17,002475.SZ,signal_quality_ranking,0.64,2,0.0,-0.005,true,review_only_rank
2026-06-17,002475.SZ,naive_equal_weight_ranking,0.0,1,1.0,-0.005,true,constant_naive_tie_broken_by_symbol
2026-06-17,600036.SH,naive_equal_weight_ranking,0.0,2,0.0,0.006,true,constant_naive_tie_broken_by_symbol
2026-06-18,600036.SH,score_based_alpha_ranking,0.553,1,1.0,-0.004,true,review_only_rank
2026-06-18,002475.SZ,score_based_alpha_ranking,0.3565,2,0.0,0.009,true,review_only_rank
2026-06-18,600036.SH,signal_quality_ranking,0.94,1,1.0,-0.004,true,review_only_rank
2026-06-18,002475.SZ,signal_quality_ranking,0.62,2,0.0,0.009,true,review_only_rank
2026-06-18,002475.SZ,naive_equal_weight_ranking,0.0,1,1.0,0.009,true,constant_naive_tie_broken_by_symbol
2026-06-18,600036.SH,naive_equal_weight_ranking,0.0,2,0.0,-0.004,true,constant_naive_tie_broken_by_symbol
2026-06-19,600036.SH,score_based_alpha_ranking,0.532,1,1.0,0.006,true,review_only_rank
2026-06-19,002475.SZ,score_based_alpha_ranking,0.4375,2,0.0,0.003,true,review_only_rank
2026-06-19,600036.SH,signal_quality_ranking,0.92,1,1.0,0.006,true,review_only_rank
2026-06-19,002475.SZ,signal_quality_ranking,0.64,2,0.0,0.003,true,review_only_rank
2026-06-19,002475.SZ,naive_equal_weight_ranking,0.0,1,1.0,0.003,true,constant_naive_tie_broken_by_symbol
2026-06-19,600036.SH,naive_equal_weight_ranking,0.0,2,0.0,0.006,true,constant_naive_tie_broken_by_symbol
